Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542495600.0 1.0 62 77 151 NA NA NA NA NA 114 136 233 NA NA NA NA NA 1826 391 978 NA NA NA NA NA 2068 615 1273 NA NA NA NA NA
1542495600.0 10.0 NA 98 237 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2818 3408 690 NA NA NA NA NA 3320 3769 808 NA NA NA NA
1542495600.0 1000.0 NA 232 150 0 50 NA NA NA NA 319 245 0 85 NA NA NA NA 2479 1171 631 268 NA NA NA NA 3004 1568 763 437 NA NA NA
1542495600.0 10001.0 NA 158 306 72 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1283 2246 498 3030 NA NA NA NA 1474 2660 802 3420 NA NA NA
1542495600.0 10002.0 NA 184 316 74 0 NA NA NA NA 240 408 115 0 NA NA NA NA 1250 2468 499 3075 NA NA NA NA 1417 3263 757 3589 NA NA NA
1542495600.0 10003.0 NA 158 301 83 0 NA NA NA NA 240 408 115 0 NA NA NA NA 1308 2126 548 3117 NA NA NA NA 1460 2432 816 3585 NA NA NA
1542495600.0 10004.0 NA 158 307 73 0 NA NA NA NA 238 408 115 0 NA NA NA NA 1270 2097 480 3041 NA NA NA NA 1443 2812 788 3767 NA NA NA
1542495600.0 10005.0 NA 154 305 78 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1235 2299 471 2916 NA NA NA NA 1557 2781 732 3365 NA NA NA
1542495600.0 10006.0 NA 152 297 77 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1503 2145 465 3085 NA NA NA NA 2154 2443 703 3572 NA NA NA
1542495600.0 10007.0 NA 160 306 84 0 NA NA NA NA 239 408 128 0 NA NA NA NA 1285 2146 506 3052 NA NA NA NA 1516 2635 761 3493 NA NA NA
1542495600.0 10008.0 NA 171 310 89 0 NA NA NA NA 239 408 127 0 NA NA NA NA 1268 2351 510 3099 NA NA NA NA 1442 2924 774 3545 NA NA NA
1542495600.0 10009.0 NA 174 311 83 0 NA NA NA NA 240 408 127 0 NA NA NA NA 1295 2296 503 3246 NA NA NA NA 1459 2736 743 3743 NA NA NA
1542495600.0 1001.0 NA 209 116 0 0 0 0 0 NA 268 153 0 0 0 0 0 NA 2094 456 70 107 253 120 281 NA 2645 693 207 188 325 185 358
1542495600.0 1002.0 NA 239 69 NA NA NA NA NA NA 310 118 NA NA NA NA NA NA 2513 336 NA NA NA NA NA NA 2778 406 NA NA NA NA NA
1542495600.0 10023.0 NA 173 308 73 0 NA NA NA NA 239 408 114 0 NA NA NA NA 1385 2010 623 3215 NA NA NA NA 1733 2296 1063 3579 NA NA NA
1542495600.0 10024.0 NA 172 321 88 0 NA NA NA NA 254 411 129 0 NA NA NA NA 1752 2409 525 3097 NA NA NA NA 2330 2714 783 3515 NA NA NA
1542495600.0 10024.1 NA 183 160 0 NA NA NA NA NA 254 212 0 NA NA NA NA NA 1869 1270 485 NA NA NA NA NA 2212 1834 711 NA NA NA NA
1542495600.0 10024.2 NA 195 315 0 NA NA NA NA NA 254 410 0 NA NA NA NA NA 1421 2833 3156 NA NA NA NA NA 1568 3445 3659 NA NA NA NA
1542495600.0 10024.3 NA 180 160 0 NA NA NA NA NA 254 205 0 NA NA NA NA NA 2069 1372 435 NA NA NA NA NA 2544 2135 658 NA NA NA NA
1542495600.0 10024.4 NA 177 318 0 NA NA NA NA NA 255 411 0 NA NA NA NA NA 1455 2384 3082 NA NA NA NA NA 1624 3247 3671 NA NA NA NA
1542495600.0 10024.5 NA 185 161 0 NA NA NA NA NA 254 212 0 NA NA NA NA NA 1897 1233 511 NA NA NA NA NA 2216 2154 731 NA NA NA NA
1542495600.0 10024.6 NA 189 316 0 NA NA NA NA NA 254 409 0 NA NA NA NA NA 1376 3082 3195 NA NA NA NA NA 1533 3956 3638 NA NA NA NA
1542495600.0 10025.0 NA 172 311 80 0 NA NA NA NA 246 409 115 0 NA NA NA NA 1311 2262 570 3152 NA NA NA NA 1468 2641 932 3698 NA NA NA
