Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543100400.0 1.0 58 78 151 NA NA 114 136 233 NA NA 1437 388 941 NA NA 1589 497 1420 NA NA
1543100400.0 1003.0 NA 198 0 NA NA NA 264 0 NA NA NA 4188 709 NA NA NA 5225 985 NA NA
1543100400.0 101.0 81 NA NA NA NA 150 NA NA NA NA 982 NA NA NA NA 1131 NA NA NA NA
1543100400.0 1020.0 NA 36 NA NA NA NA 102 NA NA NA NA 321 NA NA NA NA 520 NA NA NA
1543100400.0 110.0 49 72 220 NA NA 95 136 293 NA NA 494 395 1375 NA NA 681 597 1743 NA NA
1543100400.0 111.0 62 70 219 NA NA 115 136 296 NA NA 1640 323 1377 NA NA 1960 483 1660 NA NA
1543100400.0 112.0 59 74 219 NA NA 115 136 295 NA NA 3202 400 1408 NA NA 3475 609 1760 NA NA
1543100400.0 115.0 63 83 221 NA NA 117 136 298 NA NA 4351 434 1552 NA NA 4967 612 1953 NA NA
1543100400.0 119.0 62 73 224 NA NA 115 136 296 NA NA 2429 440 1421 NA NA 2654 611 1733 NA NA
1543100400.0 1325.6 NA 112 NA NA NA NA 173 NA NA NA NA 2056 NA NA NA NA 2217 NA NA NA
1543100400.0 1325.7 NA 109 0 NA NA NA 170 0 NA NA NA 2102 128 NA NA NA 4402 196 NA NA
1543100400.0 1325.8 NA 108 0 NA NA NA 170 0 NA NA NA 2051 125 NA NA NA 3055 354 NA NA
1543100400.0 136.778 NA 70 258 0 NA NA 122 332 0 NA NA 765 11049 1296 NA NA 1577 12554 1634 NA
1543100400.0 136.7802 NA 97 0 NA NA NA 151 0 NA NA NA 600 318 NA NA NA 1224 478 NA NA
1543100400.0 2.0 62 70 159 NA NA 117 136 236 NA NA 4416 435 998 NA NA 4674 582 1237 NA NA
1543100400.0 2017.8 103 NA NA NA NA 153 NA NA NA NA 388 NA NA NA NA 588 NA NA NA NA
1543100400.0 250199.0 157 NA NA NA NA 223 NA NA NA NA 2715 NA NA NA NA 2958 NA NA NA NA
1543100400.0 250199.17 163 NA NA NA NA 228 NA NA NA NA 2723 NA NA NA NA 3044 NA NA NA NA
1543100400.0 250399.0 132 NA NA NA NA 205 NA NA NA NA 924 NA NA NA NA 1446 NA NA NA NA
1543100400.0 250399.17 150 NA NA NA NA 214 NA NA NA NA 1132 NA NA NA NA 1739 NA NA NA NA
1543100400.0 250403.0 206 0 102 NA NA 285 0 165 NA NA 1059 247 594 NA NA 1384 315 744 NA NA
1543100400.0 250406.0 206 0 99 NA NA 286 0 165 NA NA 963 246 559 NA NA 1246 336 760 NA NA
1543100400.0 25400.17 271 0 108 NA NA 380 0 166 NA NA 7538 338 686 NA NA 8897 446 897 NA NA
1543100400.0 25407.17 256 0 102 NA NA 352 0 168 NA NA 7208 301 636 NA NA 8931 396 815 NA NA
1543100400.0 25409.17 273 0 103 NA NA 377 0 166 NA NA 7235 365 711 NA NA 8544 469 973 NA NA
1543100400.0 280.0 96 71 222 0 NA 185 136 299 0 NA 6480 608 2126 750 NA 7933 1067 2938 1023 NA
1543100400.0 3.0 64 68 157 NA NA 119 136 240 NA NA 5138 341 1372 NA NA 5314 493 1569 NA NA
1543100400.0 4.22 NA 135 68 69 0 NA 211 105 120 0 NA 950 217 252 230 NA 1495 405 465 316
1543100400.0 4.29 NA 38 221 0 151 NA 75 298 0 242 NA 255 2996 595 1228 NA 392 3531 791 1721
1543100400.0 4.55 NA 36 235 0 NA NA 75 309 0 NA NA 225 7447 599 NA NA 407 7832 707 NA
1543100400.0 4.65 NA 28 242 0 NA NA 75 316 0 NA NA 233 8828 607 NA NA 558 9424 767 NA
1543100400.0 4.77 NA 56 241 0 NA NA 100 317 0 NA NA 333 8027 611 NA NA 519 8462 712 NA
1543100400.0 5.2 166 0 NA NA NA 238 0 NA NA NA 862 242 NA NA NA 1289 337 NA NA NA
1543100400.0 5.3 168 0 NA NA NA 238 0 NA NA NA 808 234 NA NA NA 1088 324 NA NA NA
1543100400.0 5.5 181 0 NA NA NA 264 0 NA NA NA 971 250 NA NA NA 1423 344 NA NA NA
1543100400.0 500199.0 122 NA NA NA NA 175 NA NA NA NA 1623 NA NA NA NA 1859 NA NA NA NA
1543100400.0 504.0 33 0 NA NA NA 72 0 NA NA NA 268 176 NA NA NA 581 378 NA NA NA
1543100400.0 527.0 16 38 0 NA NA 53 78 0 NA NA 2875 266 183 NA NA 3580 600 329 NA NA
1543100400.0 551.0 17 33 0 NA NA 53 77 0 NA NA 1475 281 176 NA NA 2334 575 409 NA NA
1543100400.0 7.0 51 72 123 50 0 90 135 195 92 0 567 315 593 226 221 801 459 897 460 313
1543100400.0 7.1 55 72 114 50 0 91 135 195 92 0 857 342 451 267 220 985 456 676 651 312
1543100400.0 7.2 56 142 150 64 0 92 220 260 99 0 624 1034 658 313 496 860 1281 867 740 584
1543100400.0 7.3 51 145 150 57 0 92 220 260 99 0 1120 1035 696 233 518 1334 1544 945 394 760
1543100400.0 7.4 56 139 155 57 0 92 220 260 99 0 622 1011 725 227 501 872 1423 1462 377 601
