Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1541844000.0 1.0 93 89 185 NA NA NA NA NA NA 193 538 338 NA NA NA NA NA NA 3718 2089 3643 NA NA NA NA NA NA 4175 3447 10232 NA NA NA NA NA NA
1541844000.0 10.0 NA 127 299 0 NA NA NA NA NA NA 589 445 0 NA NA NA NA NA NA 2122 3194 558 NA NA NA NA NA NA 1358 2617 662 NA NA NA NA NA
1541844000.0 1000.0 NA 317 203 0 63 NA NA NA NA NA 418 275 0 100 NA NA NA NA NA 2554 1062 661 263 NA NA NA NA NA 1398 1247 742 352 NA NA NA NA
1541844000.0 10001.0 NA 177 361 0 87 NA NA NA NA NA 608 552 0 127 NA NA NA NA NA 668 1826 1042 271 NA NA NA NA NA 591 2157 1117 297 NA NA NA NA
1541844000.0 10002.0 NA 172 356 0 76 NA NA NA NA NA 607 542 0 128 NA NA NA NA NA 635 1659 992 218 NA NA NA NA NA 660 6147 1052 296 NA NA NA NA
1541844000.0 10003.0 NA 175 363 0 86 NA NA NA NA NA 563 531 0 128 NA NA NA NA NA 758 1717 991 253 NA NA NA NA NA 413 2700 1152 307 NA NA NA NA
1541844000.0 10004.0 NA 176 354 0 86 NA NA NA NA NA 606 551 0 125 NA NA NA NA NA 554 1658 1041 271 NA NA NA NA NA 367 4649 1240 283 NA NA NA NA
1541844000.0 10005.0 NA 170 362 0 87 NA NA NA NA NA 607 564 0 128 NA NA NA NA NA 563 1659 1009 197 NA NA NA NA NA 826 4887 1059 279 NA NA NA NA
1541844000.0 10006.0 NA 167 363 0 87 NA NA NA NA NA 562 551 0 127 NA NA NA NA NA 673 1590 951 250 NA NA NA NA NA 401 1780 2878 283 NA NA NA NA
1541844000.0 10007.0 NA 176 362 0 87 NA NA NA NA NA 607 563 0 125 NA NA NA NA NA 646 1631 1073 199 NA NA NA NA NA 415 4464 1165 262 NA NA NA NA
1541844000.0 10008.0 NA 167 381 0 82 NA NA NA NA NA 608 565 0 129 NA NA NA NA NA 622 1684 1008 201 NA NA NA NA NA 391 1704 2867 283 NA NA NA NA
1541844000.0 10009.0 NA 177 364 0 87 NA NA NA NA NA 607 541 0 126 NA NA NA NA NA 619 1712 1001 257 NA NA NA NA NA 391 2755 1141 294 NA NA NA NA
1541844000.0 1001.0 NA 262 130 0 0 0 0 0 0 NA 418 175 0 0 0 0 0 0 NA 2456 752 95 69 117 239 105 222 NA 3987 816 170 136 170 274 225 278
1541844000.0 1001.2 NA 390 144 0 NA NA NA NA NA NA 618 213 0 NA NA NA NA NA NA 14044 1854 113 NA NA NA NA NA NA 6621 1245 204 NA NA NA NA NA
1541844000.0 1002.0 NA 305 84 NA NA NA NA NA NA NA 425 135 NA NA NA NA NA NA NA 3209 385 NA NA NA NA NA NA NA 6922 330 NA NA NA NA NA NA
1541844000.0 10023.0 NA 179 354 0 86 NA NA NA NA NA 606 534 0 133 NA NA NA NA NA 576 1619 1061 207 NA NA NA NA NA 376 2337 1269 293 NA NA NA NA
1541844000.0 10024.0 NA 187 379 0 89 NA NA NA NA NA 610 563 0 129 NA NA NA NA NA 672 1906 1023 219 NA NA NA NA NA 587 9493 1092 286 NA NA NA NA
1541844000.0 10024.1 NA 176 192 0 NA NA NA NA NA NA 557 331 0 NA NA NA NA NA NA 764 755 317 NA NA NA NA NA NA 1775 7536 426 NA NA NA NA NA
1541844000.0 10024.2 NA 163 366 0 NA NA NA NA NA NA 560 541 0 NA NA NA NA NA NA 770 2087 1263 NA NA NA NA NA NA 965 2879 1408 NA NA NA NA NA
