Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543183200.0 10001.0 NA 162 351 0 74 NA NA 607 534 0 127 NA NA 640 1963 1251 396 NA NA 560 2140 1491 499 NA
1543183200.0 10002.0 NA 165 365 0 85 NA NA 565 531 0 122 NA NA 586 1922 1192 245 NA NA 534 2322 1377 412 NA
1543183200.0 10003.0 NA 168 341 0 84 NA NA 562 566 0 134 NA NA 736 2012 1198 268 NA NA 654 2194 1311 683 NA
1543183200.0 10004.0 NA 161 357 0 84 NA NA 607 542 0 135 NA NA 794 1928 1198 270 NA NA 546 2257 1345 583 NA
1543183200.0 10005.0 NA 168 353 0 84 NA NA 563 563 0 134 NA NA 751 1927 1230 352 NA NA 592 2181 1645 453 NA
1543183200.0 10006.0 NA 165 354 0 83 NA NA 607 541 0 133 NA NA 612 1929 1188 258 NA NA 622 2316 1319 615 NA
1543183200.0 10007.0 NA 159 357 0 75 NA NA 555 555 0 129 NA NA 761 1995 1185 397 NA NA 847 3237 1353 636 NA
1543183200.0 10008.0 NA 159 356 0 83 NA NA 606 546 0 135 NA NA 738 1995 1250 271 NA NA 649 2928 1407 432 NA
1543183200.0 10009.0 NA 166 369 0 84 NA NA 602 533 0 136 NA NA 703 2040 1223 275 NA NA 569 2436 1786 452 NA
1543183200.0 1002.0 NA 303 96 NA NA NA NA 407 133 NA NA NA NA 4165 436 NA NA NA NA 3577 321 NA NA NA
1543183200.0 10023.0 NA 167 364 0 71 NA NA 607 531 0 131 NA NA 605 1913 1220 284 NA NA 485 2194 1318 679 NA
1543183200.0 10024.0 NA 182 368 0 77 NA NA 563 565 0 131 NA NA 851 2281 1240 260 NA NA 644 2386 1659 430 NA
1543183200.0 10024.1 NA 176 196 0 NA NA NA 605 332 0 NA NA NA 710 780 366 NA NA NA 479 971 491 NA NA
1543183200.0 10024.2 NA 168 380 0 NA NA NA 564 552 0 NA NA NA 821 2297 1224 NA NA NA 1072 2463 1702 NA NA
1543183200.0 10024.3 NA 175 186 0 NA NA NA 563 324 0 NA NA NA 701 783 308 NA NA NA 490 975 722 NA NA
1543183200.0 10024.4 NA 172 377 0 NA NA NA 608 544 0 NA NA NA 897 2235 1201 NA NA NA 1048 2423 1301 NA NA
1543183200.0 10024.5 NA 188 154 0 NA NA NA 606 242 0 NA NA NA 723 470 135 NA NA NA 488 748 251 NA NA
1543183200.0 10025.0 NA 173 373 0 76 NA NA 562 555 0 128 NA NA 672 2103 1213 306 NA NA 568 3409 1472 556 NA
1543183200.0 10026.0 NA 178 383 0 82 NA NA 608 602 0 137 NA NA 883 2495 1303 276 NA NA 583 2378 1647 382 NA
1543183200.0 10042.0 NA 169 346 0 76 NA NA 609 564 0 125 NA NA 674 2097 1223 243 NA NA 521 2199 1541 477 NA
1543183200.0 10059.0 NA 173 350 0 77 NA NA 562 577 0 127 NA NA 962 2789 1226 381 NA NA 664 2443 1746 440 NA
1543183200.0 10071.0 NA 166 367 0 77 NA NA 557 563 0 134 NA NA 846 2161 1260 357 NA NA 613 2499 1399 439 NA
1543183200.0 101.0 90 NA NA NA NA NA 161 NA NA NA NA NA 1251 NA NA NA NA NA 2269 NA NA NA NA NA
1543183200.0 1010.0 NA 39 47 0 NA NA NA 85 98 0 NA NA NA 119 189 149 NA NA NA 327 402 421 NA NA
1543183200.0 102.0 99 NA NA NA NA NA 161 NA NA NA NA NA 1082 NA NA NA NA NA 2216 NA NA NA NA NA
1543183200.0 1020.0 NA 86 23 0 73 NA NA 142 72 0 143 NA NA 240 111 65 335 NA NA 376 497 249 636 NA
1543183200.0 1030.0 NA 177 57 0 0 NA NA 383 100 0 0 NA NA 11275 333 89 83 NA NA 5289 460 418 143 NA
1543183200.0 1040.1 NA 83 33 0 NA NA NA 147 75 0 NA NA NA 597 114 150 NA NA NA 1343 425 231 NA NA
1543183200.0 10424.0 NA 181 369 0 NA NA NA 607 561 0 NA NA NA 793 2170 1240 NA NA NA 617 3356 1504 NA NA
1543183200.0 106.0 49 0 0 NA NA NA 108 0 0 NA NA NA 1171 433 2516 NA NA NA 1343 795 4856 NA NA NA
1543183200.0 10801.0 NA 269 388 0 88 149 NA 639 589 0 151 210 NA 1780 2169 2137 420 951 NA 1895 2568 2489 788 1043
1543183200.0 10802.0 NA 268 390 0 89 159 NA 635 564 0 150 234 NA 1888 2165 2027 423 985 NA 2102 3144 2226 558 1067
1543183200.0 10803.0 NA 266 390 0 92 163 NA 680 581 0 140 230 NA 1892 2167 2051 545 953 NA 1830 2745 2255 662 1114
1543183200.0 10804.0 NA 266 382 0 86 136 NA 644 544 0 149 211 NA 1837 2155 2129 433 1018 NA 1924 2259 2262 978 1401
1543183200.0 10805.0 NA 279 390 0 98 162 NA 676 581 0 146 233 NA 1821 2216 2039 388 945 NA 1450 3043 2282 493 1148
1543183200.0 10806.0 NA 269 375 0 90 122 NA 631 590 0 144 197 NA 1833 2141 2090 551 973 NA 1990 2298 2262 808 1203
1543183200.0 10807.0 NA 268 396 0 104 161 NA 678 592 0 160 224 NA 1875 2282 2118 416 959 NA 1986 2658 2348 553 1023
1543183200.0 10808.0 NA 262 394 0 91 151 NA 679 571 0 160 240 NA 1938 2238 2078 439 1035 NA 2347 3006 2263 576 1415
1543183200.0 10809.0 NA 259 385 0 106 152 NA 554 590 0 159 232 NA 1995 2255 2071 426 1046 NA 2367 2517 2210 583 1478
1543183200.0 10824.1 NA 271 205 0 NA NA NA 641 358 0 NA NA NA 1997 794 347 NA NA NA 1754 982 449 NA NA
1543183200.0 10824.5 NA 271 168 0 NA NA NA 628 252 0 NA NA NA 1937 580 138 NA NA NA 1613 1915 231 NA NA
1543183200.0 10824.6 NA 288 400 0 100 157 NA 552 591 0 157 237 NA 1977 2417 2153 457 1013 NA 1954 2407 2550 869 1475
1543183200.0 10859.0 NA 284 422 0 95 154 NA 678 629 0 160 244 NA 2159 2925 2163 536 997 NA 2384 2569 2508 536 1078
