Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543269600.0 101.0 97 NA NA NA 161 NA NA NA 759 NA NA NA 1323 NA NA NA
1543269600.0 1010.0 NA 32 47 0 NA 89 100 0 NA 142 281 193 NA 572 417 460
1543269600.0 102.0 96 NA NA NA 161 NA NA NA 667 NA NA NA 1111 NA NA NA
1543269600.0 1040.1 NA 82 33 0 NA 147 76 0 NA 608 144 177 NA 681 401 485
1543269600.0 1325.5 NA 175 0 NA NA 286 0 NA NA 5404 192 NA NA 6906 664 NA
1543269600.0 1325.51 NA 166 0 NA NA 254 0 NA NA 2189 201 NA NA 2760 605 NA
1543269600.0 1325.7 NA 157 0 NA NA 275 0 NA NA 3825 149 NA NA 6567 509 NA
1543269600.0 135.12 340 0 129 NA 691 0 225 NA 1128 368 1011 NA 957 714 1197 NA
1543269600.0 135.8 178 NA NA NA 253 NA NA NA 454 NA NA NA 484 NA NA NA
1543269600.0 136.7611 NA 185 0 NA NA 295 0 NA NA 5386 157 NA NA 6592 251 NA
1543269600.0 136.762 NA 98 402 0 NA 166 671 0 NA 605 19917 845 NA 839 9647 1218
1543269600.0 136.764 NA 96 364 0 NA 150 571 0 NA 561 15580 821 NA 769 8366 1049
1543269600.0 136.7721 NA 179 0 NA NA 296 0 NA NA 5167 137 NA NA 6938 278 NA
1543269600.0 136.7722 NA 177 0 NA NA 267 0 NA NA 1691 151 NA NA 1758 390 NA
1543269600.0 136.7801 NA 116 0 NA NA 190 0 NA NA 467 297 NA NA 667 628 NA
1543269600.0 136.7802 NA 91 0 NA NA 140 0 NA NA 368 196 NA NA 1030 590 NA
1543269600.0 136.7803 NA 115 0 NA NA 189 0 NA NA 935 291 NA NA 1857 656 NA
1543269600.0 136.7952 NA 163 0 NA NA 248 0 NA NA 1953 180 NA NA 2332 959 NA
1543269600.0 136.824 NA 120 461 0 NA 186 737 0 NA 702 25219 1364 NA 1032 11326 2753
1543269600.0 136.8521 NA 165 0 NA NA 251 0 NA NA 3983 263 NA NA 4929 497 NA
1543269600.0 2017.8 195 NA NA NA 308 NA NA NA 516 NA NA NA 782 NA NA NA
1543269600.0 4008.0 50 0 0 NA 108 0 0 NA 866 340 1573 NA 839 346 1929 NA
1543269600.0 503.0 38 0 NA NA 88 0 NA NA 578 319 NA NA 877 603 NA NA
1543269600.0 504.0 47 0 NA NA 86 0 NA NA 407 311 NA NA 757 611 NA NA
1543269600.0 505.0 44 0 NA NA 86 0 NA NA 465 330 NA NA 837 626 NA NA
1543269600.0 506.0 42 0 NA NA 88 0 NA NA 518 248 NA NA 1164 444 NA NA
1543269600.0 507.0 37 0 NA NA 87 0 NA NA 544 360 NA NA 1021 657 NA NA
1543269600.0 508.0 38 0 NA NA 87 0 NA NA 383 302 NA NA 676 553 NA NA
1543269600.0 509.0 42 0 NA NA 86 0 NA NA 408 318 NA NA 909 572 NA NA
1543269600.0 510.0 38 0 NA NA 88 0 NA NA 772 271 NA NA 990 583 NA NA
1543269600.0 512.0 22 44 0 NA 68 93 0 NA 2478 471 298 NA 13151 1009 584 NA
1543269600.0 513.0 20 37 0 NA 68 94 0 NA 1007 470 362 NA 2944 844 776 NA
1543269600.0 514.0 21 39 0 NA 68 94 0 NA 706 452 254 NA 1394 834 484 NA
1543269600.0 515.0 22 47 0 NA 68 92 0 NA 2425 302 294 NA 12181 704 600 NA
1543269600.0 516.0 20 39 0 NA 68 93 0 NA 1023 468 344 NA 2495 881 633 NA
1543269600.0 517.0 20 39 0 NA 64 93 0 NA 1851 449 290 NA 3593 871 538 NA
1543269600.0 518.0 22 42 0 NA 68 92 0 NA 2472 419 336 NA 11609 811 715 NA
1543269600.0 519.0 22 39 0 NA 68 93 0 NA 989 450 408 NA 2855 671 794 NA
1543269600.0 520.0 20 37 0 NA 64 93 0 NA 1823 500 295 NA 3568 963 534 NA
1543269600.0 521.0 20 44 0 NA 68 93 0 NA 1020 406 299 NA 2582 636 584 NA
1543269600.0 522.0 21 41 0 NA 68 94 0 NA 2443 363 300 NA 12855 590 550 NA
1543269600.0 523.0 21 46 0 NA 64 106 0 NA 1439 529 311 NA 1389 991 584 NA
1543269600.0 524.0 21 40 0 NA 64 94 0 NA 1957 515 243 NA 3163 818 452 NA
1543269600.0 525.0 21 43 0 NA 68 93 0 NA 865 443 281 NA 1541 1041 606 NA
1543269600.0 526.0 21 45 0 NA 68 94 0 NA 2494 361 266 NA 13474 761 564 NA
1543269600.0 527.0 20 37 0 NA 64 94 0 NA 1820 511 314 NA 3642 907 550 NA
1543269600.0 528.0 20 43 0 NA 68 93 0 NA 757 204 156 NA 2605 591 517 NA
1543269600.0 529.0 21 40 0 NA 68 93 0 NA 2583 193 160 NA 8815 533 711 NA
1543269600.0 530.0 20 40 0 NA 64 93 0 NA 1004 205 160 NA 1893 497 287 NA
1543269600.0 531.0 74 0 NA NA 194 0 NA NA 193 169 NA NA 332 533 NA NA
1543269600.0 534.0 43 0 NA NA 105 0 NA NA 258 195 NA NA 1091 1335 NA NA
1543269600.0 535.0 110 0 NA NA 183 0 NA NA 3634 151 NA NA 3118 325 NA NA
1543269600.0 541.0 49 0 NA NA 102 0 NA NA 221 180 NA NA 548 503 NA NA
1543269600.0 545.0 54 0 NA NA 97 0 NA NA 245 162 NA NA 816 514 NA NA
1543269600.0 551.0 22 49 0 NA 68 93 0 NA 896 211 158 NA 1226 493 476 NA
1543269600.0 552.0 21 41 0 NA 68 93 0 NA 993 208 167 NA 1663 336 474 NA
1543269600.0 554.0 20 46 0 NA 64 92 0 NA 1667 194 156 NA 2686 616 909 NA
1543269600.0 555.0 21 39 0 NA 68 93 0 NA 1055 233 177 NA 2029 398 525 NA
1543269600.0 556.0 22 45 0 NA 68 95 0 NA 375 232 175 NA 1659 601 970 NA
1543269600.0 560.0 39 0 NA NA 87 0 NA NA 206 152 NA NA 404 346 NA NA
1543269600.0 561.0 43 0 NA NA 88 0 NA NA 229 188 NA NA 353 795 NA NA
1543269600.0 562.0 22 43 0 NA 68 93 0 NA 400 205 155 NA 1458 680 872 NA
