Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1542621600.0 1.0 64 75 166 NA NA NA NA 118 115 222 NA NA NA NA 3069 709 1927 NA NA NA NA 3872 931 2472 NA NA NA NA
1542621600.0 10.0 NA 112 265 0 NA NA NA NA 185 325 0 NA NA NA NA 5945 8367 1393 NA NA NA NA 6411 9259 1566 NA NA NA
1542621600.0 1001.2 NA 302 127 0 NA NA NA NA 378 165 0 NA NA NA NA 45449 4536 258 NA NA NA NA 51488 6020 43140 NA NA NA
1542621600.0 1002.0 NA 269 77 NA NA NA NA NA 352 115 NA NA NA NA NA 7503 983 NA NA NA NA NA 11856 5100 NA NA NA NA
1542621600.0 1003.0 NA 229 0 NA NA NA NA NA 308 0 NA NA NA NA NA 8104 1352 NA NA NA NA NA 14930 3158 NA NA NA NA
1542621600.0 101.0 99 NA NA NA NA NA NA 148 NA NA NA NA NA NA 2386 NA NA NA NA NA NA 2646 NA NA NA NA NA NA
1542621600.0 1010.0 NA 31 43 0 NA NA NA NA 102 77 0 NA NA NA NA 233 247 199 NA NA NA NA 2673 16925 17980 NA NA NA
1542621600.0 102.0 99 NA NA NA NA NA NA 148 NA NA NA NA NA NA 1918 NA NA NA NA NA NA 2161 NA NA NA NA NA NA
1542621600.0 103.0 53 0 0 NA NA NA NA 95 0 0 NA NA NA NA 1178 315 3242 NA NA NA NA 1405 429 3850 NA NA NA NA
1542621600.0 1040.0 NA 272 34 0 NA NA NA NA 348 62 0 NA NA NA NA 37268 235 251 NA NA NA NA 39452 596 26857 NA NA NA
1542621600.0 1040.1 NA 79 32 0 NA NA NA NA 151 62 0 NA NA NA NA 1073 231 251 NA NA NA NA 1918 3550 26674 NA NA NA
1542621600.0 105.0 68 85 48 NA NA NA NA 120 119 64 NA NA NA NA 3521 886 216 NA NA NA NA 4051 1516 289 NA NA NA NA
1542621600.0 106.0 53 0 0 NA NA NA NA 95 0 0 NA NA NA NA 1165 315 3228 NA NA NA NA 1366 427 3795 NA NA NA NA
1542621600.0 107.0 70 94 267 NA NA NA NA 122 120 311 NA NA NA NA 8269 970 3994 NA NA NA NA 8954 1242 4608 NA NA NA NA
1542621600.0 108.0 71 83 275 NA NA NA NA 123 120 311 NA NA NA NA 9657 1047 4156 NA NA NA NA 10542 1297 4714 NA NA NA NA
1542621600.0 109.0 70 86 265 NA NA NA NA 123 120 311 NA NA NA NA 9575 1060 4152 NA NA NA NA 10246 1505 4730 NA NA NA NA
