Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1542794400.0 1.0 64 75 169 NA NA NA NA NA NA 118 115 222 NA NA NA NA NA NA 3068 695 1901 NA NA NA NA NA NA 3851 943 2881 NA NA NA NA NA NA
1542794400.0 10.0 NA 109 251 0 NA NA NA NA NA NA 183 319 0 NA NA NA NA NA NA 4651 7346 1409 NA NA NA NA NA NA 5817 8532 1526 NA NA NA NA NA
1542794400.0 1000.0 NA 276 175 0 69 NA NA NA NA NA 352 265 0 88 NA NA NA NA NA 7544 3444 1710 594 NA NA NA NA NA 10260 4836 1790 650 NA NA NA NA
1542794400.0 10001.0 NA 101 294 0 81 NA NA NA NA NA 181 361 0 109 NA NA NA NA NA 1632 3639 2543 531 NA NA NA NA NA 1929 4444 2696 692 NA NA NA NA
1542794400.0 10002.0 NA 101 299 0 81 NA NA NA NA NA 182 361 0 109 NA NA NA NA NA 928 3603 2543 534 NA NA NA NA NA 1233 4352 2680 695 NA NA NA NA
1542794400.0 10003.0 NA 104 299 0 72 NA NA NA NA NA 184 362 0 109 NA NA NA NA NA 942 3745 2531 545 NA NA NA NA NA 1373 4484 2655 680 NA NA NA NA
1542794400.0 10004.0 NA 102 299 0 77 NA NA NA NA NA 181 361 0 109 NA NA NA NA NA 890 3646 2489 505 NA NA NA NA NA 1179 4901 2637 588 NA NA NA NA
1542794400.0 10005.0 NA 102 298 0 83 NA NA NA NA NA 182 361 0 109 NA NA NA NA NA 890 3608 2524 589 NA NA NA NA NA 1182 4173 2690 898 NA NA NA NA
1542794400.0 10006.0 NA 102 295 0 72 NA NA NA NA NA 184 359 0 108 NA NA NA NA NA 910 3592 2521 518 NA NA NA NA NA 1432 4234 2671 631 NA NA NA NA
1542794400.0 10007.0 NA 105 299 0 75 NA NA NA NA NA 184 361 0 109 NA NA NA NA NA 1013 3724 2551 539 NA NA NA NA NA 1323 4309 2713 685 NA NA NA NA
1542794400.0 10008.0 NA 102 297 0 78 NA NA NA NA NA 184 362 0 109 NA NA NA NA NA 974 3731 2518 507 NA NA NA NA NA 2070 4463 2654 594 NA NA NA NA
1542794400.0 10009.0 NA 106 295 0 72 NA NA NA NA NA 184 363 0 109 NA NA NA NA NA 1111 3819 2532 526 NA NA NA NA NA 1902 4721 2666 653 NA NA NA NA
1542794400.0 1001.0 NA 239 119 0 0 0 0 0 0 NA 312 152 0 0 0 0 0 0 NA 6594 1333 242 154 277 488 205 497 NA 9028 2937 1373 1374 361 546 247 521
1542794400.0 1001.2 NA 304 132 0 NA NA NA NA NA NA 378 166 0 NA NA NA NA NA NA 45598 4694 330 NA NA NA NA NA NA 50149 5904 902 NA NA NA NA NA
1542794400.0 1002.0 NA 267 78 NA NA NA NA NA NA NA 353 115 NA NA NA NA NA NA NA 7823 1000 NA NA NA NA NA NA NA 11652 2453 NA NA NA NA NA NA
1542794400.0 10023.0 NA 101 295 0 83 NA NA NA NA NA 182 362 0 108 NA NA NA NA NA 1442 3666 2501 581 NA NA NA NA NA 1888 4556 2719 875 NA NA NA NA
1542794400.0 10024.0 NA 110 300 0 72 NA NA NA NA NA 188 369 0 110 NA NA NA NA NA 1238 4321 2619 603 NA NA NA NA NA 2752 5085 2798 830 NA NA NA NA
1542794400.0 10024.1 NA 108 170 0 NA NA NA NA NA NA 188 211 0 NA NA NA NA NA NA 1225 1956 811 NA NA NA NA NA NA 1519 2664 899 NA NA NA NA NA
1542794400.0 10024.2 NA 107 297 0 NA NA NA NA NA NA 188 366 0 NA NA NA NA NA NA 1926 4288 2532 NA NA NA NA NA NA 2588 5096 2703 NA NA NA NA NA
1542794400.0 10024.3 NA 105 159 0 NA NA NA NA NA NA 188 202 0 NA NA NA NA NA NA 1183 1916 725 NA NA NA NA NA NA 1408 2451 807 NA NA NA NA NA
1542794400.0 10024.4 NA 109 298 0 NA NA NA NA NA NA 188 365 0 NA NA NA NA NA NA 1788 4230 2502 NA NA NA NA NA NA 2476 4910 2663 NA NA NA NA NA
1542794400.0 10024.5 NA 107 86 0 NA NA NA NA NA NA 188 123 0 NA NA NA NA NA NA 1207 1110 270 NA NA NA NA NA NA 1450 1412 302 NA NA NA NA NA
1542794400.0 10025.0 NA 105 300 0 72 NA NA NA NA NA 185 364 0 109 NA NA NA NA NA 1751 3938 2552 554 NA NA NA NA NA 2092 5956 2688 692 NA NA NA NA
1542794400.0 10026.0 NA 116 303 0 72 NA NA NA NA NA 196 380 0 110 NA NA NA NA NA 1286 5150 2649 584 NA NA NA NA NA 1831 6095 2802 724 NA NA NA NA
1542794400.0 1003.0 NA 231 0 NA NA NA NA NA NA NA 308 0 NA NA NA NA NA NA NA 8119 1503 NA NA NA NA NA NA NA 12849 1700 NA NA NA NA NA NA
1542794400.0 1004.0 NA 197 100 0 0 0 0 NA NA NA 275 133 0 0 0 0 NA NA NA 2140 622 152 255 485 482 NA NA NA 2730 4979 330 339 637 504 NA NA
1542794400.0 10042.0 NA 104 300 0 82 NA NA NA NA NA 185 364 0 110 NA NA NA NA NA 1071 3868 2657 544 NA NA NA NA NA 1375 4849 2797 697 NA NA NA NA
1542794400.0 10059.0 NA 110 303 0 72 NA NA NA NA NA 193 379 0 110 NA NA NA NA NA 2028 5705 2596 583 NA NA NA NA NA 2357 6797 2715 755 NA NA NA NA
1542794400.0 10071.0 NA 108 301 0 80 NA NA NA NA NA 187 369 0 109 NA NA NA NA NA 1217 4150 2653 568 NA NA NA NA NA 1892 4924 2820 713 NA NA NA NA
1542794400.0 101.0 88 NA NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA NA 2039 NA NA NA NA NA NA NA NA 2248 NA NA NA NA NA NA NA NA
1542794400.0 1010.0 NA 32 44 0 NA NA NA NA NA NA 102 77 0 NA NA NA NA NA NA 237 286 216 NA NA NA NA NA NA 820 647 261 NA NA NA NA NA
1542794400.0 102.0 94 NA NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA NA 1758 NA NA NA NA NA NA NA NA 1931 NA NA NA NA NA NA NA NA
1542794400.0 1020.0 NA 44 43 0 50 NA NA NA NA NA 114 61 0 115 NA NA NA NA NA 487 215 115 436 NA NA NA NA NA 686 438 146 506 NA NA NA NA
1542794400.0 10224.0 NA 172 378 0 NA NA NA NA NA NA 254 484 0 NA NA NA NA NA NA 6394 9611 2648 NA NA NA NA NA NA 7089 11033 2796 NA NA NA NA NA
1542794400.0 10225.0 NA 171 366 0 NA NA NA NA NA NA 254 475 0 NA NA NA NA NA NA 6329 9256 2676 NA NA NA NA NA NA 8055 10594 2817 NA NA NA NA NA
1542794400.0 103.0 49 0 0 NA NA NA NA NA NA 93 0 0 NA NA NA NA NA NA 1076 285 2770 NA NA NA NA NA NA 1329 470 3148 NA NA NA NA NA NA
1542794400.0 1030.0 NA 159 54 0 0 NA NA NA NA NA 230 82 0 0 NA NA NA NA NA 26083 602 138 133 NA NA NA NA NA 27857 1473 1362 1440 NA NA NA NA
1542794400.0 1040.0 NA 273 42 0 NA NA NA NA NA NA 348 63 0 NA NA NA NA NA NA 37970 271 310 NA NA NA NA NA NA 40280 342 1210 NA NA NA NA NA
1542794400.0 1040.1 NA 79 34 0 NA NA NA NA NA NA 151 62 0 NA NA NA NA NA NA 1299 266 299 NA NA NA NA NA NA 1514 349 752 NA NA NA NA NA
1542794400.0 10424.0 NA 107 300 0 NA NA NA NA NA NA 187 368 0 NA NA NA NA NA NA 1279 4170 2583 NA NA NA NA NA NA 2532 4920 2769 NA NA NA NA NA
1542794400.0 105.0 65 77 41 NA NA NA NA NA NA 118 117 63 NA NA NA NA NA NA 3084 833 215 NA NA NA NA NA NA 3461 1223 252 NA NA NA NA NA NA
1542794400.0 106.0 49 0 0 NA NA NA NA NA NA 93 0 0 NA NA NA NA NA NA 1074 284 2767 NA NA NA NA NA NA 1319 490 3148 NA NA NA NA NA NA
1542794400.0 107.0 64 77 247 NA NA NA NA NA NA 120 118 306 NA NA NA NA NA NA 6729 868 3502 NA NA NA NA NA NA 7528 1155 4327 NA NA NA NA NA NA
1542794400.0 108.0 67 77 245 NA NA NA NA NA NA 121 118 306 NA NA NA NA NA NA 8201 936 3758 NA NA NA NA NA NA 9290 1203 4646 NA NA NA NA NA NA
1542794400.0 10801.0 NA 185 328 0 82 109 NA NA NA NA 277 388 0 116 151 NA NA NA NA 3177 4254 4817 850 1352 NA NA NA NA 4122 4804 4870 938 1398 NA NA NA
1542794400.0 10802.0 NA 184 326 0 83 112 NA NA NA NA 278 389 0 116 150 NA NA NA NA 3770 3967 4863 839 1265 NA NA NA NA 4299 4442 4919 920 1311 NA NA NA
1542794400.0 10803.0 NA 181 333 0 82 112 NA NA NA NA 279 391 0 116 150 NA NA NA NA 3838 3892 4581 848 1252 NA NA NA NA 4365 3993 4638 947 1300 NA NA NA
1542794400.0 10804.0 NA 182 329 0 81 111 NA NA NA NA 277 388 0 116 151 NA NA NA NA 3025 3849 4727 787 1274 NA NA NA NA 3345 3963 4777 869 1334 NA NA NA
1542794400.0 10805.0 NA 185 328 0 81 107 NA NA NA NA 277 388 0 116 150 NA NA NA NA 3161 4230 4597 880 1312 NA NA NA NA 3497 4697 4638 968 1361 NA NA NA
1542794400.0 10806.0 NA 180 324 0 96 109 NA NA NA NA 277 387 0 115 144 NA NA NA NA 3100 3726 4720 723 918 NA NA NA NA 3374 3952 4772 780 981 NA NA NA
1542794400.0 10807.0 NA 182 333 0 97 114 NA NA NA NA 278 389 0 127 151 NA NA NA NA 3282 4007 4629 864 1262 NA NA NA NA 3577 4121 4690 944 1312 NA NA NA
1542794400.0 10808.0 NA 185 329 0 92 107 NA NA NA NA 278 390 0 127 150 NA NA NA NA 3273 4421 4860 870 1379 NA NA NA NA 4057 4945 4910 1029 1424 NA NA NA
1542794400.0 10809.0 NA 184 329 0 92 106 NA NA NA NA 278 391 0 127 150 NA NA NA NA 3347 4545 4799 909 1349 NA NA NA NA 3709 5067 4844 1030 1406 NA NA NA
1542794400.0 10823.0 NA 183 320 0 82 101 NA NA NA NA 277 388 0 115 144 NA NA NA NA 3272 4304 4599 894 1279 NA NA NA NA 3800 4868 4657 1014 1323 NA NA NA
1542794400.0 10824.0 NA 192 334 0 92 110 NA NA NA NA 284 396 0 128 151 NA NA NA NA 3516 4325 4643 933 1313 NA NA NA NA 4014 4463 4696 1018 1364 NA NA NA
1542794400.0 10824.1 NA 190 178 0 NA NA NA NA NA NA 284 219 0 NA NA NA NA NA NA 3454 2102 835 NA NA NA NA NA NA 3841 2831 986 NA NA NA NA NA
1542794400.0 10824.5 NA 185 98 0 NA NA NA NA NA NA 284 137 0 NA NA NA NA NA NA 3521 1355 285 NA NA NA NA NA NA 3911 1906 323 NA NA NA NA NA
1542794400.0 10824.6 NA 190 335 0 93 109 NA NA NA NA 284 396 0 128 151 NA NA NA NA 3558 4428 4679 882 1297 NA NA NA NA 4077 4602 4737 972 1358 NA NA NA
1542794400.0 10825.0 NA 185 329 0 88 110 NA NA NA NA 280 392 0 116 150 NA NA NA NA 3324 4506 4822 817 1380 NA NA NA NA 3705 5051 4885 894 1449 NA NA NA
1542794400.0 10826.0 NA 199 337 0 91 111 NA NA NA NA 291 406 0 126 151 NA NA NA NA 3668 4860 4808 934 1252 NA NA NA NA 4275 5004 4858 1011 1294 NA NA NA
1542794400.0 10842.0 NA 183 334 0 93 110 NA NA NA NA 280 393 0 128 150 NA NA NA NA 3363 4129 4875 913 1387 NA NA NA NA 3877 4414 4923 1009 1433 NA NA NA
1542794400.0 10859.0 NA 200 337 0 95 113 NA NA NA NA 293 406 0 126 151 NA NA NA NA 3825 5956 5024 890 1258 NA NA NA NA 4180 6069 5070 973 1299 NA NA NA
1542794400.0 10871.0 NA 192 330 0 104 111 NA NA NA NA 293 404 0 126 151 NA NA NA NA 3552 5153 4642 892 1350 NA NA NA NA 4571 5696 4692 990 1441 NA NA NA
1542794400.0 109.0 69 78 245 NA NA NA NA NA NA 121 118 305 NA NA NA NA NA NA 8234 910 3761 NA NA NA NA NA NA 9058 1166 4581 NA NA NA NA NA NA
1542794400.0 11.0 NA 92 254 0 78 NA NA NA NA NA 170 325 0 99 NA NA NA NA NA 3564 3890 1471 366 NA NA NA NA NA 4169 4842 1525 416 NA NA NA NA
1542794400.0 110.0 59 74 243 NA NA NA NA NA NA 107 114 303 NA NA NA NA NA NA 1334 773 3210 NA NA NA NA NA NA 1689 1019 3866 NA NA NA NA NA NA
1542794400.0 1102.0 NA 110 265 145 111 NA NA NA NA NA 185 324 176 130 NA NA NA NA NA 6765 9394 3544 686 NA NA NA NA NA 9544 11500 4092 749 NA NA NA NA
1542794400.0 11024.0 NA 277 434 0 109 NA NA NA NA NA 373 543 0 151 NA NA NA NA NA 12572 13544 4985 1562 NA NA NA NA NA 13889 15843 5232 1699 NA NA NA NA
1542794400.0 11024.2 NA 281 434 0 107 NA NA NA NA NA 374 541 0 151 NA NA NA NA NA 12435 13600 5224 1490 NA NA NA NA NA 14891 15867 6017 2806 NA NA NA NA
1542794400.0 11024.3 NA 282 430 0 111 NA NA NA NA NA 377 540 0 151 NA NA NA NA NA 12576 13584 5048 1522 NA NA NA NA NA 16168 15375 5495 1794 NA NA NA NA
1542794400.0 11024.6 NA 281 426 0 109 NA NA NA NA NA 372 533 0 151 NA NA NA NA NA 12491 13174 5047 1566 NA NA NA NA NA 14907 14974 5289 1742 NA NA NA NA
1542794400.0 11025.0 NA 279 434 0 109 NA NA NA NA NA 371 538 0 151 NA NA NA NA NA 12146 12153 5227 1534 NA NA NA NA NA 13412 14287 5482 1690 NA NA NA NA
1542794400.0 111.0 66 78 245 NA NA NA NA NA NA 118 116 305 NA NA NA NA NA NA 2826 683 3270 NA NA NA NA NA NA 3536 897 3836 NA NA NA NA NA NA
1542794400.0 112.0 64 77 244 NA NA NA NA NA NA 119 117 304 NA NA NA NA NA NA 4775 871 3353 NA NA NA NA NA NA 5188 1106 4051 NA NA NA NA NA NA
1542794400.0 11224.0 NA 184 331 0 NA NA NA NA NA NA 279 396 0 NA NA NA NA NA NA 3380 5051 5010 NA NA NA NA NA NA 6307 6267 5387 NA NA NA NA NA
1542794400.0 11224.6 NA 187 329 0 NA NA NA NA NA NA 279 396 0 NA NA NA NA NA NA 3455 4992 4970 NA NA NA NA NA NA 5787 6801 5401 NA NA NA NA NA
1542794400.0 113.0 64 78 245 NA NA NA NA NA NA 119 116 304 NA NA NA NA NA NA 4831 809 3377 NA NA NA NA NA NA 5485 1035 4298 NA NA NA NA NA NA
1542794400.0 114.0 65 75 245 NA NA NA NA NA NA 119 117 304 NA NA NA NA NA NA 5670 882 3471 NA NA NA NA NA NA 6998 1127 4119 NA NA NA NA NA NA
1542794400.0 115.0 64 79 244 NA NA NA NA NA NA 119 118 304 NA NA NA NA NA NA 5475 834 3486 NA NA NA NA NA NA 6393 1063 4503 NA NA NA NA NA NA
1542794400.0 116.0 66 76 244 NA NA NA NA NA NA 120 118 304 NA NA NA NA NA NA 6367 893 3581 NA NA NA NA NA NA 7366 1172 4648 NA NA NA NA NA NA
1542794400.0 11623.0 59 102 311 0 72 NA NA NA NA 101 148 365 0 108 NA NA NA NA 2119 1091 3266 2548 502 NA NA NA NA 2354 1287 3416 2597 573 NA NA NA NA
1542794400.0 11624.0 60 108 318 0 73 NA NA NA NA 104 150 372 0 110 NA NA NA NA 8665 1328 4016 2639 527 NA NA NA NA 9521 1587 4155 2699 596 NA NA NA NA
1542794400.0 11625.0 58 108 304 0 87 NA NA NA NA 103 150 368 0 109 NA NA NA NA 5215 1079 3634 2496 429 NA NA NA NA 5517 1148 3782 2546 478 NA NA NA NA
1542794400.0 11626.0 62 108 312 0 72 NA NA NA NA 107 153 377 0 110 NA NA NA NA 13263 1447 4639 2545 551 NA NA NA NA 16069 2178 4829 2595 644 NA NA NA NA
1542794400.0 11642.0 59 105 302 0 87 NA NA NA NA 102 148 368 0 110 NA NA NA NA 2440 855 3330 2537 502 NA NA NA NA 2689 935 3460 2595 573 NA NA NA NA
1542794400.0 117.0 66 77 246 NA NA NA NA NA NA 120 118 306 NA NA NA NA NA NA 7427 947 3671 NA NA NA NA NA NA 8131 1215 4685 NA NA NA NA NA NA
1542794400.0 118.0 69 78 248 NA NA NA NA NA NA 120 118 306 NA NA NA NA NA NA 7467 953 3804 NA NA NA NA NA NA 8525 1331 4552 NA NA NA NA NA NA
1542794400.0 119.0 65 77 245 NA NA NA NA NA NA 118 117 304 NA NA NA NA NA NA 4071 844 3343 NA NA NA NA NA NA 4516 1084 4053 NA NA NA NA NA NA
1542794400.0 12.0 NA 104 249 0 NA NA NA NA NA NA 182 321 0 NA NA NA NA NA NA 4266 7315 1439 NA NA NA NA NA NA 5075 8239 1569 NA NA NA NA NA
1542794400.0 120.0 58 75 241 NA NA NA NA NA NA 107 114 303 NA NA NA NA NA NA 1160 705 3192 NA NA NA NA NA NA 1792 911 3776 NA NA NA NA NA NA
1542794400.0 12024.0 61 107 303 0 NA NA NA NA NA 104 150 372 0 NA NA NA NA NA 8738 1341 4471 2724 NA NA NA NA NA 12319 2253 6180 4885 NA NA NA NA NA
1542794400.0 121.0 66 77 246 NA NA NA NA NA NA 121 118 307 NA NA NA NA NA NA 7536 970 3755 NA NA NA NA NA NA 8729 1219 4965 NA NA NA NA NA NA
1542794400.0 122.0 64 76 240 NA NA NA NA NA NA 116 114 303 NA NA NA NA NA NA 1230 490 3146 NA NA NA NA NA NA 1591 693 3812 NA NA NA NA NA NA
1542794400.0 123.1 201 NA NA NA NA NA NA NA NA 262 NA NA NA NA NA NA NA NA 2061 NA NA NA NA NA NA NA NA 2576 NA NA NA NA NA NA NA NA
1542794400.0 123.2 199 NA NA NA NA NA NA NA NA 263 NA NA NA NA NA NA NA NA 2287 NA NA NA NA NA NA NA NA 3157 NA NA NA NA NA NA NA NA
1542794400.0 123.3 181 NA NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA NA 1745 NA NA NA NA NA NA NA NA 2403 NA NA NA NA NA NA NA NA
1542794400.0 124.1 194 NA NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA NA 1790 NA NA NA NA NA NA NA NA 2142 NA NA NA NA NA NA NA NA
1542794400.0 124.2 201 NA NA NA NA NA NA NA NA 262 NA NA NA NA NA NA NA NA 2017 NA NA NA NA NA NA NA NA 2444 NA NA NA NA NA NA NA NA
1542794400.0 124.4 194 NA NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA NA 1792 NA NA NA NA NA NA NA NA 2208 NA NA NA NA NA NA NA NA
1542794400.0 124.5 193 NA NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA NA 1844 NA NA NA NA NA NA NA NA 2664 NA NA NA NA NA NA NA NA
1542794400.0 124.6 186 NA NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA NA 1713 NA NA NA NA NA NA NA NA 2605 NA NA NA NA NA NA NA NA
1542794400.0 125.0 66 78 244 NA NA NA NA NA NA 120 118 305 NA NA NA NA NA NA 4939 805 3330 NA NA NA NA NA NA 5536 970 4207 NA NA NA NA NA NA
