Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543269600.0 10.0 NA 106 251 0 NA NA NA 183 319 0 NA NA NA 4737 7430 1383 NA NA NA 5614 8321 1504 NA NA
1543269600.0 10001.0 NA 99 298 0 71 NA NA 181 360 0 108 NA NA 1655 3609 2590 553 NA NA 2130 4218 2838 752 NA
1543269600.0 10002.0 NA 100 298 0 71 NA NA 181 360 0 108 NA NA 972 3764 2579 552 NA NA 1491 4672 2844 729 NA
1543269600.0 10003.0 NA 114 304 0 71 NA NA 184 362 0 108 NA NA 911 3712 2549 531 NA NA 1205 4267 2852 637 NA
1543269600.0 10004.0 NA 110 297 0 73 NA NA 181 360 0 108 NA NA 881 3751 2661 521 NA NA 1155 4600 2910 621 NA
1543269600.0 10005.0 NA 114 299 0 71 NA NA 181 360 0 108 NA NA 916 3645 2517 553 NA NA 1217 4278 2806 766 NA
1543269600.0 10006.0 NA 119 295 0 72 NA NA 184 359 0 108 NA NA 870 3605 2597 510 NA NA 1150 4443 2926 643 NA
1543269600.0 10007.0 NA 102 295 0 72 NA NA 184 361 0 109 NA NA 1020 3762 2584 528 NA NA 1433 4509 2849 684 NA
1543269600.0 10008.0 NA 113 297 0 74 NA NA 184 361 0 109 NA NA 954 3795 2600 516 NA NA 1228 4640 2892 627 NA
1543269600.0 10009.0 NA 102 304 0 72 NA NA 184 363 0 109 NA NA 1126 3789 2589 524 NA NA 1985 4349 2809 636 NA
1543269600.0 10023.0 NA 112 303 0 71 NA NA 182 362 0 108 NA NA 990 3595 2622 560 NA NA 1330 4072 2818 748 NA
1543269600.0 10024.0 NA 108 305 0 72 NA NA 188 368 0 110 NA NA 1302 4329 2728 598 NA NA 1794 5037 2928 811 NA
1543269600.0 10024.1 NA 106 166 0 NA NA NA 188 211 0 NA NA NA 1656 1974 833 NA NA NA 2428 2531 911 NA NA
1543269600.0 10024.2 NA 122 303 0 NA NA NA 188 366 0 NA NA NA 1214 4377 2603 NA NA NA 1622 5255 2785 NA NA
1543269600.0 10024.3 NA 106 157 0 NA NA NA 188 202 0 NA NA NA 1377 1956 724 NA NA NA 1764 2451 784 NA NA
1543269600.0 10024.4 NA 106 302 0 NA NA NA 188 364 0 NA NA NA 1236 4297 2617 NA NA NA 1908 5195 2857 NA NA
1543269600.0 10024.5 NA 107 86 0 NA NA NA 188 123 0 NA NA NA 1995 1008 283 NA NA NA 2459 1176 319 NA NA
1543269600.0 10025.0 NA 104 303 0 72 NA NA 185 364 0 109 NA NA 1086 3850 2624 540 NA NA 1513 4425 2992 682 NA
1543269600.0 10026.0 NA 115 308 0 72 NA NA 195 380 0 109 NA NA 1293 5137 2612 591 NA NA 1690 5753 2919 795 NA
1543269600.0 10042.0 NA 104 299 0 73 NA NA 185 364 0 109 NA NA 1080 3932 2626 564 NA NA 1540 4642 2834 753 NA
1543269600.0 10059.0 NA 110 303 0 72 NA NA 193 378 0 109 NA NA 2113 5773 2664 584 NA NA 2445 6676 2943 811 NA
1543269600.0 10071.0 NA 107 306 0 72 NA NA 187 368 0 109 NA NA 1183 4217 2717 580 NA NA 1572 5015 2895 780 NA
1543269600.0 101.0 88 NA NA NA NA NA 146 NA NA NA NA NA 2026 NA NA NA NA NA 2149 NA NA NA NA NA
1543269600.0 102.0 90 NA NA NA NA NA 146 NA NA NA NA NA 1729 NA NA NA NA NA 1846 NA NA NA NA NA
1543269600.0 10224.0 NA 172 380 0 NA NA NA 255 484 0 NA NA NA 7369 9843 2710 NA NA NA 8344 11674 2915 NA NA
1543269600.0 10225.0 NA 171 369 0 NA NA NA 254 475 0 NA NA NA 6999 9351 2672 NA NA NA 7711 10983 2869 NA NA
1543269600.0 103.0 48 0 0 NA NA NA 93 0 0 NA NA NA 1073 288 2813 NA NA NA 1291 377 3287 NA NA NA
1543269600.0 10424.0 NA 109 304 0 NA NA NA 187 368 0 NA NA NA 2064 4235 2625 NA NA NA 2654 5344 2972 NA NA
1543269600.0 105.0 65 77 29 NA NA NA 118 117 63 NA NA NA 3149 783 194 NA NA NA 3924 992 220 NA NA NA
1543269600.0 106.0 49 0 0 NA NA NA 93 0 0 NA NA NA 1074 279 2762 NA NA NA 1370 347 3230 NA NA NA
1543269600.0 107.0 64 77 245 NA NA NA 120 118 305 NA NA NA 6688 888 3578 NA NA NA 7452 1097 4889 NA NA NA
1543269600.0 108.0 65 76 245 NA NA NA 121 118 305 NA NA NA 8081 919 3763 NA NA NA 8746 1199 4929 NA NA NA
1543269600.0 10802.0 NA 186 328 0 81 107 NA 278 389 0 116 150 NA 3111 4357 4825 939 1507 NA 3893 5657 5242 1261 1600
1543269600.0 10803.0 NA 189 329 0 90 110 NA 279 390 0 116 150 NA 4744 4483 5003 942 1509 NA 5577 5587 5424 1302 1601
1543269600.0 10805.0 NA 187 329 0 87 108 NA 277 388 0 115 150 NA 4331 4486 4982 929 1552 NA 5731 5828 5363 1234 1649
1543269600.0 10824.1 NA 196 179 0 NA NA NA 284 219 0 NA NA NA 3494 2077 819 NA NA NA 3953 2555 882 NA NA
1543269600.0 10824.5 NA 188 104 0 NA NA NA 284 136 0 NA NA NA 3624 1363 293 NA NA NA 4147 1618 335 NA NA
1543269600.0 10871.0 NA 201 336 0 92 113 NA 293 404 0 126 151 NA 5211 5160 4918 984 1530 NA 5741 6205 5335 1256 1620
1543269600.0 109.0 66 80 243 NA NA NA 121 118 305 NA NA NA 8138 871 3785 NA NA NA 8884 1096 4509 NA NA NA
1543269600.0 11.0 NA 90 256 0 72 NA NA 169 325 0 99 NA NA 3545 3830 1631 376 NA NA 4067 4597 1837 417 NA
1543269600.0 110.0 58 74 243 NA NA NA 107 114 303 NA NA NA 1323 800 3330 NA NA NA 1579 1249 4467 NA NA NA
1543269600.0 11024.0 NA 280 431 0 109 NA NA 373 541 0 151 NA NA 14204 13786 4998 1522 NA NA 16045 15840 5433 1630 NA
1543269600.0 11024.2 NA 279 432 0 114 NA NA 374 542 0 151 NA NA 14133 13396 5197 1550 NA NA 16164 15276 5690 1895 NA
1543269600.0 11024.3 NA 283 433 0 108 NA NA 377 540 0 151 NA NA 14370 13982 5036 1517 NA NA 16520 16483 5481 1657 NA
1543269600.0 11024.6 NA 276 426 0 109 NA NA 371 537 0 151 NA NA 14335 12931 5075 1515 NA NA 15954 14939 5430 1642 NA
1543269600.0 11025.0 NA 277 432 0 110 NA NA 373 537 0 151 NA NA 13912 12326 5242 1518 NA NA 15956 14401 5712 1597 NA
1543269600.0 111.0 66 78 243 NA NA NA 118 116 305 NA NA NA 2789 615 3285 NA NA NA 3281 835 4029 NA NA NA
1543269600.0 112.0 63 78 244 NA NA NA 119 117 304 NA NA NA 4782 858 3442 NA NA NA 5434 1139 4686 NA NA NA
1543269600.0 11224.0 NA 190 332 0 NA NA NA 278 396 0 NA NA NA 3383 5119 5078 NA NA NA 4520 6733 5561 NA NA
