Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543442400.0 11224.0 NA 185 334 0 NA 278 399 0 NA 3392 5167 5177 NA 4593 6937 5641
1543442400.0 11224.6 NA 184 334 0 NA 278 398 0 NA 3375 5162 4950 NA 4270 6665 5415
1543442400.0 125.0 66 78 248 NA 119 118 306 NA 5029 824 3367 NA 5668 1247 3956 NA
1543442400.0 126.0 58 74 245 NA 107 114 305 NA 2021 714 3258 NA 2303 947 4071 NA
1543442400.0 127.0 58 78 246 NA 101 113 304 NA 2302 711 3270 NA 2577 913 3923 NA
1543442400.0 128.0 56 77 245 NA 99 116 304 NA 1111 707 3209 NA 1376 898 3838 NA
1543442400.0 129.0 56 74 243 NA 100 113 304 NA 1128 694 3159 NA 1506 947 3846 NA
1543442400.0 130.0 54 75 242 NA 107 113 304 NA 1284 749 3305 NA 1637 992 3999 NA
1543442400.0 131.0 56 75 251 NA 108 116 305 NA 2347 726 3320 NA 2623 964 4147 NA
1543442400.0 132.0 66 77 250 NA 116 118 307 NA 5618 844 3516 NA 6164 1216 4109 NA
1543442400.0 133.0 66 78 250 NA 122 118 309 NA 8756 886 3840 NA 9948 1111 4511 NA
1543442400.0 20261.97 226 NA NA NA 308 NA NA NA 9031 NA NA NA 9720 NA NA NA
1543442400.0 250199.0 146 NA NA NA 227 NA NA NA 6483 NA NA NA 7094 NA NA NA
1543442400.0 250199.17 161 NA NA NA 244 NA NA NA 7292 NA NA NA 7805 NA NA NA
1543442400.0 250199.18 194 NA NA NA 281 NA NA NA 10275 NA NA NA 11187 NA NA NA
1543442400.0 250200.1 64 142 197 NA 114 222 261 NA 5537 3587 4343 NA 6408 4598 4921 NA
1543442400.0 250200.117 63 163 204 NA 107 245 263 NA 5726 5381 4126 NA 7466 5844 4638 NA
1543442400.0 25211.0 0 NA NA NA 0 NA NA NA 1050 NA NA NA 1358 NA NA NA
1543442400.0 25211.17 0 NA NA NA 0 NA NA NA 1069 NA NA NA 1311 NA NA NA
1543442400.0 25212.0 0 NA NA NA 0 NA NA NA 1045 NA NA NA 1286 NA NA NA
1543442400.0 25212.17 0 NA NA NA 0 NA NA NA 1065 NA NA NA 1345 NA NA NA
1543442400.0 25213.0 0 NA NA NA 0 NA NA NA 1057 NA NA NA 1341 NA NA NA
1543442400.0 25213.17 0 NA NA NA 0 NA NA NA 1070 NA NA NA 1314 NA NA NA
