Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542146400.0 1.0 55 77 129 NA NA NA NA NA 98 147 184 NA NA NA NA NA 1505 307 722 NA NA NA NA NA 1577 328 762 NA NA NA NA NA
1542146400.0 10.0 NA 83 198 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 1834 1722 433 NA NA NA NA NA 1894 1818 449 NA NA NA NA
1542146400.0 1000.0 NA 225 126 0 46 NA NA NA NA 288 185 0 79 NA NA NA NA 2344 519 444 120 NA NA NA NA 2885 994 510 251 NA NA NA
1542146400.0 1001.0 NA 197 171 0 0 0 0 0 NA 254 219 0 0 0 0 0 NA 1625 403 7 48 526 30 488 NA 1701 527 13 56 536 43 505
1542146400.0 1002.0 NA 213 60 NA NA NA NA NA NA 279 100 NA NA NA NA NA NA 1935 137 NA NA NA NA NA NA 2346 218 NA NA NA NA NA
1542146400.0 10021.0 NA 88 130 0 NA NA NA NA NA 181 180 0 NA NA NA NA NA 526 544 184 NA NA NA NA NA 638 619 201 NA NA NA NA
1542146400.0 10023.0 NA 88 135 0 NA NA NA NA NA 181 182 0 NA NA NA NA NA 438 368 184 NA NA NA NA NA 521 442 198 NA NA NA NA
1542146400.0 10024.0 NA 94 133 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 511 512 202 NA NA NA NA NA 650 1315 218 NA NA NA NA
1542146400.0 10025.0 NA 89 133 0 NA NA NA NA NA 181 181 0 NA NA NA NA NA 469 398 190 NA NA NA NA NA 561 485 200 NA NA NA NA
1542146400.0 10026.0 NA 93 136 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 529 569 212 NA NA NA NA NA 632 786 223 NA NA NA NA
1542146400.0 1003.0 NA 178 0 NA NA NA NA NA NA 251 0 NA NA NA NA NA NA 2458 272 NA NA NA NA NA NA 2650 291 NA NA NA NA NA
1542146400.0 1004.0 NA 185 136 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 417 233 7 42 396 441 NA NA 576 377 17 55 410 451 NA
1542146400.0 101.0 92 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 808 NA NA NA NA NA NA NA 824 NA NA NA NA NA NA NA
1542146400.0 102.0 92 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 573 NA NA NA NA NA NA NA 597 NA NA NA NA NA NA NA
1542146400.0 10224.0 NA 125 193 0 NA NA NA NA NA 191 282 0 NA NA NA NA NA 2305 2047 232 NA NA NA NA NA 5839 6011 281 NA NA NA NA
1542146400.0 10225.0 NA 124 192 0 NA NA NA NA NA 196 285 0 NA NA NA NA NA 2401 1990 211 NA NA NA NA NA 7434 7040 232 NA NA NA NA
1542146400.0 103.0 49 77 190 NA NA NA NA NA 94 149 254 NA NA NA NA NA 537 171 302 NA NA NA NA NA 566 196 365 NA NA NA NA NA
1542146400.0 105.0 54 75 24 NA NA NA NA NA 98 149 54 NA NA NA NA NA 1498 296 3 NA NA NA NA NA 1530 334 18 NA NA NA NA NA
1542146400.0 106.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 292 63 120 NA NA NA NA NA 310 78 155 NA NA NA NA NA
1542146400.0 107.0 54 80 192 NA NA NA NA NA 99 149 255 NA NA NA NA NA 2811 344 452 NA NA NA NA NA 2875 364 517 NA NA NA NA NA
1542146400.0 108.0 55 81 195 NA NA NA NA NA 102 149 255 NA NA NA NA NA 3890 314 470 NA NA NA NA NA 3961 336 521 NA NA NA NA NA
1542146400.0 109.0 56 84 190 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4203 357 525 NA NA NA NA NA 4394 432 555 NA NA NA NA NA
1542146400.0 11.0 NA 79 203 0 53 NA NA NA NA 151 265 0 91 NA NA NA NA 1553 794 513 38 NA NA NA NA 1588 896 530 55 NA NA NA
1542146400.0 110.0 45 78 190 NA NA NA NA NA 85 149 254 NA NA NA NA NA 431 284 336 NA NA NA NA NA 493 312 390 NA NA NA NA NA
1542146400.0 1102.0 NA 84 202 111 75 NA NA NA NA 151 263 176 113 NA NA NA NA 1903 2259 1982 140 NA NA NA NA 2000 2386 2523 155 NA NA NA
1542146400.0 111.0 53 78 189 NA NA NA NA NA 98 149 255 NA NA NA NA NA 1977 240 385 NA NA NA NA NA 2025 305 430 NA NA NA NA NA
1542146400.0 112.0 54 80 196 NA NA NA NA NA 100 149 255 NA NA NA NA NA 2946 338 472 NA NA NA NA NA 2989 381 515 NA NA NA NA NA
1542146400.0 113.0 55 78 192 NA NA NA NA NA 100 149 255 NA NA NA NA NA 2824 352 427 NA NA NA NA NA 2898 385 614 NA NA NA NA NA
1542146400.0 114.0 55 88 192 NA NA NA NA NA 99 149 255 NA NA NA NA NA 2663 356 401 NA NA NA NA NA 2717 376 441 NA NA NA NA NA
1542146400.0 115.0 55 84 194 NA NA NA NA NA 101 149 255 NA NA NA NA NA 3460 359 442 NA NA NA NA NA 3525 385 764 NA NA NA NA NA
1542146400.0 116.0 55 90 190 NA NA NA NA NA 101 149 255 NA NA NA NA NA 3108 334 459 NA NA NA NA NA 3162 371 518 NA NA NA NA NA
1542146400.0 117.0 56 81 194 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4243 357 481 NA NA NA NA NA 4512 415 521 NA NA NA NA NA
1542146400.0 118.0 57 77 191 NA NA NA NA NA 100 149 255 NA NA NA NA NA 3439 345 463 NA NA NA NA NA 3505 388 552 NA NA NA NA NA
1542146400.0 119.0 53 78 193 NA NA NA NA NA 99 149 255 NA NA NA NA NA 2683 336 424 NA NA NA NA NA 2762 374 520 NA NA NA NA NA
1542146400.0 12.0 NA 81 198 0 NA NA NA NA NA 151 256 0 NA NA NA NA NA 1687 1756 451 NA NA NA NA NA 1743 1822 462 NA NA NA NA
