Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1543183200.0 1.0 94 106 212 NA NA NA NA 193 585 314 NA NA NA NA 1308 487 1376 NA NA NA NA 2085 486 2166 NA NA NA NA
1543183200.0 10.0 NA 149 315 0 NA NA NA NA 592 451 0 NA NA NA NA 2307 3586 620 NA NA NA NA 1191 2374 720 NA NA NA
1543183200.0 10001.0 NA 166 362 0 76 NA NA NA 608 553 0 129 NA NA NA 545 1817 942 226 NA NA NA 775 1901 1107 372 NA NA
1543183200.0 10002.0 NA 179 370 0 74 NA NA NA 610 553 0 135 NA NA NA 536 1786 952 319 NA NA NA 711 2931 1133 383 NA NA
1543183200.0 10003.0 NA 184 370 0 76 NA NA NA 610 572 0 135 NA NA NA 549 1825 944 307 NA NA NA 491 1908 1040 359 NA NA
1543183200.0 10004.0 NA 176 368 0 76 NA NA NA 562 561 0 129 NA NA NA 538 1781 934 241 NA NA NA 434 2226 1129 519 NA NA
1543183200.0 10005.0 NA 171 368 0 76 NA NA NA 609 548 0 132 NA NA NA 535 1785 940 232 NA NA NA 467 1900 1085 473 NA NA
1543183200.0 10006.0 NA 170 364 0 76 NA NA NA 611 524 0 129 NA NA NA 552 1733 970 302 NA NA NA 469 2236 1300 580 NA NA
1543183200.0 10007.0 NA 171 373 0 86 NA NA NA 611 570 0 133 NA NA NA 592 1839 945 304 NA NA NA 490 2961 1052 387 NA NA
1543183200.0 10008.0 NA 173 371 0 80 NA NA NA 561 562 0 131 NA NA NA 630 1835 945 230 NA NA NA 533 1991 1135 371 NA NA
1543183200.0 10009.0 NA 172 373 0 76 NA NA NA 608 568 0 134 NA NA NA 573 1880 963 244 NA NA NA 433 2151 1289 719 NA NA
1543183200.0 1001.2 NA 386 141 0 NA NA NA NA 627 211 0 NA NA NA NA 13129 1697 119 NA NA NA NA 5115 1535 278 NA NA NA
1543183200.0 10023.0 NA 169 370 0 86 NA NA NA 608 548 0 132 NA NA NA 552 1767 926 237 NA NA NA 520 2107 1025 483 NA NA
1543183200.0 10024.0 NA 180 387 0 82 NA NA NA 564 571 0 132 NA NA NA 635 2051 995 240 NA NA NA 619 2026 1124 385 NA NA
1543183200.0 10024.1 NA 179 202 0 NA NA NA NA 612 336 0 NA NA NA NA 684 685 330 NA NA NA NA 445 831 856 NA NA NA
1543183200.0 10024.2 NA 187 375 0 NA NA NA NA 567 558 0 NA NA NA NA 652 2081 973 NA NA NA NA 733 2023 1187 NA NA NA
1543183200.0 10024.3 NA 181 191 0 NA NA NA NA 609 329 0 NA NA NA NA 643 686 298 NA NA NA NA 552 823 521 NA NA NA
1543183200.0 10024.4 NA 187 382 0 NA NA NA NA 607 573 0 NA NA NA NA 639 2080 943 NA NA NA NA 478 1977 1091 NA NA NA
1543183200.0 10024.5 NA 182 156 0 NA NA NA NA 610 238 0 NA NA NA NA 664 432 122 NA NA NA NA 487 574 211 NA NA NA
1543183200.0 10025.0 NA 174 379 0 77 NA NA NA 611 537 0 133 NA NA NA 622 1879 985 314 NA NA NA 532 2011 1129 593 NA NA
1543183200.0 10026.0 NA 192 398 0 78 NA NA NA 611 558 0 134 NA NA NA 659 2305 972 304 NA NA NA 559 2205 1076 771 NA NA
1543183200.0 1004.0 NA 231 113 0 0 0 0 NA 328 167 0 0 0 0 NA 932 438 68 125 290 312 NA 1249 464 178 221 356 416
1543183200.0 10042.0 NA 175 378 0 82 NA NA NA 606 545 0 132 NA NA NA 658 1900 978 248 NA NA NA 571 1913 1151 361 NA NA
1543183200.0 10059.0 NA 184 391 0 79 NA NA NA 564 560 0 133 NA NA NA 813 2495 961 316 NA NA NA 532 2291 1091 401 NA NA
1543183200.0 10071.0 NA 180 376 0 77 NA NA NA 611 557 0 138 NA NA NA 644 2062 961 236 NA NA NA 645 2083 1202 367 NA NA
1543183200.0 101.0 93 NA NA NA NA NA NA 161 NA NA NA NA NA NA 900 NA NA NA NA NA NA 1202 NA NA NA NA NA NA
1543183200.0 1010.0 NA 29 47 0 NA NA NA NA 89 99 0 NA NA NA NA 111 196 126 NA NA NA NA 316 563 181 NA NA NA
1543183200.0 102.0 100 NA NA NA NA NA NA 161 NA NA NA NA NA NA 774 NA NA NA NA NA NA 1248 NA NA NA NA NA NA
1543183200.0 1020.0 NA 72 24 0 74 NA NA NA 143 72 0 147 NA NA NA 258 105 70 272 NA NA NA 496 257 204 424 NA NA
1543183200.0 10224.0 NA 328 605 0 NA NA NA NA 582 900 0 NA NA NA NA 2855 4180 982 NA NA NA NA 1436 2954 1047 NA NA NA
1543183200.0 103.0 76 105 277 NA NA NA NA 151 584 438 NA NA NA NA 1220 449 1936 NA NA NA NA 1010 1110 2435 NA NA NA NA
1543183200.0 1040.1 NA 82 36 0 NA NA NA NA 144 75 0 NA NA NA NA 391 145 112 NA NA NA NA 967 936 196 NA NA NA
1543183200.0 10424.0 NA 177 389 0 NA NA NA NA 608 576 0 NA NA NA NA 636 1958 976 NA NA NA NA 548 2158 1091 NA NA NA
1543183200.0 106.0 50 0 0 NA NA NA NA 108 0 0 NA NA NA NA 799 316 1674 NA NA NA NA 660 313 3210 NA NA NA NA
1543183200.0 107.0 95 109 286 NA NA NA NA 216 585 429 NA NA NA NA 2566 580 2052 NA NA NA NA 1274 465 2549 NA NA NA NA
1543183200.0 108.0 91 109 292 NA NA NA NA 213 586 411 NA NA NA NA 3221 709 2178 NA NA NA NA 2132 642 2261 NA NA NA NA
1543183200.0 10801.0 NA 267 400 0 93 143 NA NA 668 573 0 151 215 NA NA 1661 1978 1773 448 923 NA NA 1702 2172 1890 469 1103 NA
1543183200.0 10802.0 NA 268 401 0 97 169 NA NA 679 570 0 144 236 NA NA 1644 1943 1753 395 920 NA NA 1594 2537 1991 481 1178 NA
1543183200.0 10803.0 NA 276 395 0 85 164 NA NA 647 601 0 145 244 NA NA 1785 2111 1772 391 910 NA NA 2143 2081 1875 535 1036 NA
1543183200.0 10804.0 NA 303 393 0 86 159 NA NA 684 567 0 145 249 NA NA 1613 2029 1737 442 929 NA NA 1695 2131 1844 483 1020 NA
1543183200.0 10805.0 NA 269 401 0 93 164 NA NA 641 601 0 142 235 NA NA 1738 1933 1769 442 904 NA NA 1776 2438 1920 957 964 NA
1543183200.0 10806.0 NA 276 384 0 80 123 NA NA 660 573 0 143 189 NA NA 1726 2014 1711 517 897 NA NA 1629 2134 1930 957 1267 NA
1543183200.0 10807.0 NA 263 405 0 90 152 NA NA 624 564 0 163 232 NA NA 1731 1964 1769 414 905 NA NA 1679 2508 1862 909 969 NA
1543183200.0 10808.0 NA 275 396 0 104 163 NA NA 696 612 0 160 232 NA NA 1717 2085 1746 427 901 NA NA 1878 2049 1998 534 1041 NA
1543183200.0 10809.0 NA 289 405 0 105 159 NA NA 625 613 0 155 231 NA NA 1718 2043 1750 384 905 NA NA 1879 2018 1881 613 1061 NA
1543183200.0 10823.0 NA 257 397 0 94 125 NA NA 661 571 0 139 203 NA NA 1739 1998 1783 458 893 NA NA 1793 2059 1882 552 1067 NA
1543183200.0 10824.0 NA 285 418 0 92 166 NA NA 678 582 0 160 232 NA NA 1914 2161 1785 451 954 NA NA 2074 2053 2045 992 1213 NA
1543183200.0 10824.1 NA 296 207 0 NA NA NA NA 600 361 0 NA NA NA NA 1794 757 322 NA NA NA NA 1769 1393 551 NA NA NA
1543183200.0 10824.5 NA 309 158 0 NA NA NA NA 679 246 0 NA NA NA NA 1713 525 125 NA NA NA NA 1434 880 308 NA NA NA
1543183200.0 10824.6 NA 275 412 0 96 164 NA NA 713 586 0 150 232 NA NA 1820 2207 1821 405 954 NA NA 2103 2117 1989 577 1305 NA
1543183200.0 10825.0 NA 269 409 0 97 161 NA NA 712 627 0 140 231 NA NA 1828 2093 1836 395 920 NA NA 2091 2078 2117 469 1036 NA
1543183200.0 10826.0 NA 291 435 0 105 163 NA NA 679 597 0 151 236 NA NA 1937 2465 1795 409 930 NA NA 1828 2196 1941 534 1141 NA
1543183200.0 10842.0 NA 292 405 0 98 162 NA NA 584 587 0 153 243 NA NA 1822 2121 1791 432 942 NA NA 1661 2045 1925 608 1145 NA
1543183200.0 10859.0 NA 319 432 0 103 163 NA NA 634 605 0 156 233 NA NA 1929 2762 1762 419 919 NA NA 1677 2210 1925 552 1027 NA
1543183200.0 10871.0 NA 306 422 0 100 165 NA NA 672 609 0 160 232 NA NA 1773 2256 1768 426 929 NA NA 1958 2191 1914 521 1204 NA
1543183200.0 109.0 98 110 285 NA NA NA NA 211 584 433 NA NA NA NA 3015 555 2077 NA NA NA NA 1796 548 2373 NA NA NA NA
1543183200.0 11.0 NA 116 292 0 78 NA NA NA 593 432 0 119 NA NA NA 1985 1691 744 353 NA NA NA 1305 1431 838 384 NA NA
1543183200.0 110.0 71 104 274 NA NA NA NA 137 584 407 NA NA NA NA 960 522 1863 NA NA NA NA 1172 553 2173 NA NA NA NA
1543183200.0 111.0 94 115 284 NA NA NA NA 182 584 425 NA NA NA NA 1512 387 1905 NA NA NA NA 1543 363 2577 NA NA NA NA
1543183200.0 112.0 115 118 277 NA NA NA NA 203 583 448 NA NA NA NA 2271 562 1997 NA NA NA NA 1322 618 2255 NA NA NA NA
1543183200.0 11224.0 NA 299 419 0 NA NA NA NA 685 611 0 NA NA NA NA 1622 2227 1819 NA NA NA NA 1953 2541 2051 NA NA NA
1543183200.0 11224.6 NA 295 417 0 NA NA NA NA 597 624 0 NA NA NA NA 1687 2219 1805 NA NA NA NA 1732 2219 2053 NA NA NA
1543183200.0 113.0 103 104 289 NA NA NA NA 217 587 442 NA NA NA NA 2099 656 1953 NA NA NA NA 1112 477 2311 NA NA NA NA
1543183200.0 114.0 117 120 246 NA NA NA NA 217 584 432 NA NA NA NA 2394 615 2110 NA NA NA NA 1334 459 2755 NA NA NA NA
1543183200.0 115.0 88 107 280 NA NA NA NA 210 584 436 NA NA NA NA 2507 524 2024 NA NA NA NA 1778 466 2255 NA NA NA NA
1543183200.0 116.0 111 112 286 NA NA NA NA 217 585 449 NA NA NA NA 2973 569 2111 NA NA NA NA 1360 450 2252 NA NA NA NA
1543183200.0 11623.0 69 168 364 0 75 NA NA 126 559 560 0 127 NA NA 1510 813 1945 1048 249 NA NA 950 1049 2196 1169 493 NA NA
1543183200.0 11624.0 75 176 380 0 84 NA NA 133 510 547 0 137 NA NA 2981 851 2151 1058 281 NA NA 1231 823 2248 1283 1467 NA NA
