Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543442400.0 1.0 77 106 205 NA NA 198 586 308 NA NA 1193 491 1262 NA NA 1087 399 1591 NA NA
1543442400.0 101.0 92 NA NA NA NA 161 NA NA NA NA 816 NA NA NA NA 1049 NA NA NA NA
1543442400.0 1010.0 NA 35 41 0 NA NA 89 99 0 NA NA 171 271 362 NA NA 439 843 1142 NA
1543442400.0 102.0 96 NA NA NA NA 161 NA NA NA NA 687 NA NA NA NA 932 NA NA NA NA
1543442400.0 1020.0 NA 83 30 0 81 NA 145 72 0 149 NA 293 161 132 294 NA 825 574 516 690
1543442400.0 1040.1 NA 91 34 0 NA NA 154 77 0 NA NA 599 165 215 NA NA 1456 435 822 NA
1543442400.0 106.0 47 0 0 NA NA 108 0 0 NA NA 475 295 1574 NA NA 1742 283 2807 NA NA
1543442400.0 1307.0 NA 128 188 56 0 NA 563 288 100 0 NA 887 840 266 401 NA 1532 1853 707 1007
1543442400.0 1314.0 NA 145 341 0 NA NA 563 492 0 NA NA 841 2841 1022 NA NA 1372 5407 2130 NA
1543442400.0 1325.5 NA 168 0 NA NA NA 272 0 NA NA NA 5464 240 NA NA NA 7150 929 NA NA
1543442400.0 1325.51 NA 166 0 NA NA NA 254 0 NA NA NA 2267 286 NA NA NA 3677 1020 NA NA
1543442400.0 1325.7 NA 161 0 NA NA NA 259 0 NA NA NA 8425 424 NA NA NA 14672 1144 NA NA
1543442400.0 135.8 147 NA NA NA NA 263 NA NA NA NA 449 NA NA NA NA 834 NA NA NA NA
1543442400.0 136.7611 NA 186 0 NA NA NA 300 0 NA NA NA 11838 545 NA NA NA 17288 2168 NA NA
1543442400.0 136.7721 NA 179 0 NA NA NA 292 0 NA NA NA 11172 421 NA NA NA 16086 1068 NA NA
1543442400.0 136.7722 NA 170 0 NA NA NA 263 0 NA NA NA 3821 387 NA NA NA 5831 1001 NA NA
1543442400.0 136.7801 NA 118 0 NA NA NA 184 0 NA NA NA 574 379 NA NA NA 1517 827 NA NA
1543442400.0 136.7802 NA 83 0 NA NA NA 136 0 NA NA NA 405 237 NA NA NA 1278 811 NA NA
