Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1542405600.0 1.0 219 231 326 NA NA NA 2097300 2097280 2097370 NA NA NA 3030 1033 2446 NA NA NA 5497 1832 6984 NA NA NA
1542405600.0 10.0 NA 252 589 0 NA NA NA 2097300 2097450 0 NA NA NA 6217 10386 1396 NA NA NA 8616 16736 2115 NA NA
1542405600.0 10001.0 NA 274 249 0 155 NA NA 2097310 2097450 0 2097260 NA NA 1064 5809 3082 693 NA NA 1228 24426 3716 2071 NA
1542405600.0 10002.0 NA 275 338 0 224 NA NA 2097310 2097450 0 2097260 NA NA 1026 8115 3328 448 NA NA 1169 31476 5160 647 NA
1542405600.0 10003.0 NA 276 NA NA NA NA NA 2097310 NA NA NA NA NA 1240 NA NA NA NA NA 1471 NA NA NA NA
1542405600.0 10004.0 NA 274 NA NA NA NA NA 2097310 NA NA NA NA NA 1160 NA NA NA NA NA 1437 NA NA NA NA
1542405600.0 10005.0 NA 274 514 0 224 NA NA 2097310 2097450 0 2097260 NA NA 1105 6199 3166 514 NA NA 1382 22982 4475 1024 NA
1542405600.0 10006.0 NA 279 209 0 192 NA NA 2097310 2097450 0 2097260 NA NA 1115 7713 3294 636 NA NA 1412 32601 4981 1847 NA
1542405600.0 10007.0 NA 235 274 0 222 NA NA 2097310 2097450 0 2097260 NA NA 1490 3764 3488 538 NA NA 3071 8975 6354 1081 NA
1542405600.0 10008.0 NA 297 NA NA NA NA NA 2097310 NA NA NA NA NA 1193 NA NA NA NA NA 1533 NA NA NA NA
1542405600.0 10009.0 NA 304 NA NA NA NA NA 2097310 NA NA NA NA NA 1359 NA NA NA NA NA 3587 NA NA NA NA
1542405600.0 10023.0 NA 275 NA NA NA NA NA 2097310 NA NA NA NA NA 1165 NA NA NA NA NA 2170 NA NA NA NA
1542405600.0 10024.0 NA 279 NA NA NA NA NA 2097310 NA NA NA NA NA 2282 NA NA NA NA NA 3980 NA NA NA NA
1542405600.0 10024.1 NA 276 349 0 NA NA NA 2097310 2097330 0 NA NA NA 1864 3232 941 NA NA NA 3483 9481 1395 NA NA
1542405600.0 10024.2 NA 299 357 0 NA NA NA 2097310 2097450 0 NA NA NA 1875 8605 4244 NA NA NA 2128 24064 6254 NA NA
1542405600.0 10024.3 NA 258 276 0 NA NA NA 2097310 2097330 0 NA NA NA 1787 3197 895 NA NA NA 3754 9048 1506 NA NA
1542405600.0 10024.4 NA 298 384 0 NA NA NA 2097310 2097450 0 NA NA NA 1783 8598 5180 NA NA NA 2196 26515 12157 NA NA
1542405600.0 10024.5 NA 296 269 0 NA NA NA 2097310 2097290 0 NA NA NA 2022 1286 287 NA NA NA 3019 3702 630 NA NA
1542405600.0 10025.0 NA 274 NA NA NA NA NA 2097310 NA NA NA NA NA 1900 NA NA NA NA NA 3382 NA NA NA NA
1542405600.0 10026.0 NA 277 NA NA NA NA NA 2097310 NA NA NA NA NA 2253 NA NA NA NA NA 3795 NA NA NA NA
1542405600.0 1004.0 NA 419 NA NA NA NA NA 2097380 NA NA NA NA NA 5742 NA NA NA NA NA 25041 NA NA NA NA
1542405600.0 10042.0 NA 280 461 0 225 NA NA 2097310 2097450 0 2097260 NA NA 1670 5277 4314 705 NA NA 1903 13422 6890 1165 NA
1542405600.0 10059.0 NA 297 NA NA NA NA NA 2097310 NA NA NA NA NA 2498 NA NA NA NA NA 3837 NA NA NA NA
1542405600.0 10071.0 NA 277 NA NA NA NA NA 2097310 NA NA NA NA NA 1801 NA NA NA NA NA 2293 NA NA NA NA
1542405600.0 101.0 315 NA NA NA NA NA 2097320 NA NA NA NA NA 2106 NA NA NA NA NA 2882 NA NA NA NA NA
1542405600.0 1010.0 NA 123 139 0 NA NA NA 2097240 2097250 0 NA NA NA 499 633 715 NA NA NA 855 1634 1245 NA NA
1542405600.0 102.0 276 NA NA NA NA NA 2097320 NA NA NA NA NA 1958 NA NA NA NA NA 3357 NA NA NA NA NA
1542405600.0 1020.0 NA 197 NA NA NA NA NA 2097270 NA NA NA NA NA 1141 NA NA NA NA NA 1551 NA NA NA NA
1542405600.0 10224.0 NA 355 773 0 NA NA NA 2097330 2097490 0 NA NA NA 8971 16395 3820 NA NA NA 13057 22564 5059 NA NA
1542405600.0 10225.0 NA 314 745 0 NA NA NA 2097330 2097490 0 NA NA NA 8021 13862 3784 NA NA NA 12058 18759 4904 NA NA
1542405600.0 103.0 222 0 0 NA NA NA 2097260 0 0 NA NA NA 915 357 3105 NA NA NA 1574 475 7100 NA NA NA
1542405600.0 1040.1 NA 212 125 0 NA NA NA 2097280 2097230 0 NA NA NA 1514 863 856 NA NA NA 2215 1384 1208 NA NA
1542405600.0 10424.0 NA 274 389 0 NA NA NA 2097310 2097450 0 NA NA NA 1979 6684 4655 NA NA NA 4113 18637 8289 NA NA
1542405600.0 105.0 233 236 120 NA NA NA 2097300 2097280 2097230 NA NA NA 2691 1213 202 NA NA NA 3988 2417 299 NA NA NA
1542405600.0 106.0 222 0 0 NA NA NA 2097260 0 0 NA NA NA 829 332 5085 NA NA NA 992 391 35330 NA NA NA
1542405600.0 107.0 239 244 285 NA NA NA 2097300 2097270 2097430 NA NA NA 5336 1116 4535 NA NA NA 5628 1644 11242 NA NA NA
1542405600.0 108.0 237 244 570 NA NA NA 2097300 2097280 2097430 NA NA NA 6370 1176 3998 NA NA NA 7002 1739 5451 NA NA NA
1542405600.0 10802.0 NA 199 NA NA NA NA NA 2097370 NA NA NA NA NA 8580 NA NA NA NA NA 27785 NA NA NA NA
1542405600.0 10806.0 NA 217 NA NA NA NA NA 2097370 NA NA NA NA NA 8079 NA NA NA NA NA 22840 NA NA NA NA
1542405600.0 10823.0 NA 169 NA NA NA NA NA 2097370 NA NA NA NA NA 8790 NA NA NA NA NA 31470 NA NA NA NA
1542405600.0 10824.0 NA 408 NA NA NA NA NA 2097370 NA NA NA NA NA 5658 NA NA NA NA NA 9194 NA NA NA NA
1542405600.0 10824.1 NA 340 NA NA NA NA NA 2097370 NA NA NA NA NA 5666 NA NA NA NA NA 7752 NA NA NA NA
1542405600.0 10824.5 NA 356 316 0 NA NA NA 2097370 2097300 0 NA NA NA 5696 1248 340 NA NA NA 7479 2096 2014 NA NA
1542405600.0 10824.6 NA 339 296 0 262 147 NA 2097370 2097450 0 2097270 2097310 NA 5774 6217 7001 1861 2185 NA 7833 14997 8731 4034 13310
1542405600.0 10825.0 NA 267 367 0 219 239 NA 2097370 2097450 0 2097260 2097310 NA 5925 6165 7069 1669 1573 NA 10902 21472 9456 3443 4903
1542405600.0 10826.0 NA 380 373 0 226 154 NA 2097370 2097460 0 2097270 2097310 NA 5781 8476 6926 1804 1916 NA 8512 27866 9125 5053 10174
1542405600.0 10842.0 NA 274 631 0 262 142 NA 2097370 2097450 0 2097270 2097310 NA 6189 5890 6833 1811 1934 NA 11679 16073 8740 2732 10162
1542405600.0 10859.0 NA 391 NA NA NA NA NA 2097370 NA NA NA NA NA 6637 NA NA NA NA NA 9295 NA NA NA NA
1542405600.0 10871.0 NA 411 NA NA NA NA NA 2097370 NA NA NA NA NA 5916 NA NA NA NA NA 8274 NA NA NA NA
1542405600.0 109.0 241 255 460 NA NA NA 2097300 2097280 2097430 NA NA NA 6183 1104 4424 NA NA NA 6425 1229 7140 NA NA NA
1542405600.0 11.0 NA 249 315 0 201 NA NA 2097290 2097430 0 2097260 NA NA 5092 4957 1529 484 NA NA 6930 13440 2614 1272 NA
1542405600.0 110.0 232 249 NA NA NA NA 2097270 2097270 NA NA NA NA 1158 970 NA NA NA NA 1812 1143 NA NA NA NA
1542405600.0 1102.0 NA 232 NA NA NA NA NA 2097300 NA NA NA NA NA 12802 NA NA NA NA NA 56181 NA NA NA NA
1542405600.0 11024.0 NA 436 696 0 301 NA NA 2097400 2097510 0 2097310 NA NA 15196 18977 6729 1272 NA NA 19746 22191 8588 1393 NA
1542405600.0 11024.2 NA 426 925 0 301 NA NA 2097400 2097510 0 2097310 NA NA 14910 17612 6491 1123 NA NA 20027 19165 7200 1246 NA
1542405600.0 11024.3 NA 440 688 0 298 NA NA 2097400 2097510 0 2097310 NA NA 15137 18884 6704 1277 NA NA 19728 22015 8684 1421 NA
1542405600.0 11024.6 NA 366 920 0 301 NA NA 2097400 2097510 0 2097310 NA NA 15493 17201 6262 1019 NA NA 25477 18088 6351 1080 NA
1542405600.0 11025.0 NA 377 693 0 302 NA NA 2097400 2097510 0 2097310 NA NA 15048 17540 6574 1167 NA NA 20059 22012 7242 1272 NA
1542405600.0 111.0 239 248 NA NA NA NA 2097300 2097270 NA NA NA NA 2242 864 NA NA NA NA 2491 1125 NA NA NA NA
1542405600.0 112.0 188 245 527 NA NA NA 2097300 2097270 2097420 NA NA NA 4371 1123 3132 NA NA NA 6641 1489 4110 NA NA NA
1542405600.0 11224.0 NA 346 455 0 NA NA NA 2097360 2097460 0 NA NA NA 5890 6348 7028 NA NA NA 10329 15518 9541 NA NA
1542405600.0 11224.6 NA 372 608 0 NA NA NA 2097360 2097460 0 NA NA NA 5789 6713 6960 NA NA NA 9871 19189 8747 NA NA
1542405600.0 113.0 240 246 552 NA NA NA 2097300 2097270 2097420 NA NA NA 4619 1133 3387 NA NA NA 5929 1592 5889 NA NA NA
1542405600.0 114.0 237 251 508 NA NA NA 2097300 2097270 2097420 NA NA NA 4790 1007 3610 NA NA NA 5645 1124 6231 NA NA NA
1542405600.0 115.0 219 246 589 NA NA NA 2097300 2097270 2097420 NA NA NA 4821 1092 3156 NA NA NA 6366 1499 3459 NA NA NA
1542405600.0 116.0 240 242 460 NA NA NA 2097300 2097280 2097420 NA NA NA 5333 1128 4039 NA NA NA 5967 1462 6518 NA NA NA
1542405600.0 11623.0 237 320 519 NA NA NA 2097260 2097300 2097450 NA NA NA 1728 1570 3811 NA NA NA 3107 2416 9316 NA NA NA
1542405600.0 11624.0 223 NA NA NA NA NA 2097260 NA NA NA NA NA 6303 NA NA NA NA NA 7232 NA NA NA NA NA
1542405600.0 11625.0 220 353 468 NA NA NA 2097260 2097300 2097450 NA NA NA 4015 1590 4570 NA NA NA 5289 2256 14683 NA NA NA
1542405600.0 11626.0 243 350 548 NA NA NA 2097270 2097300 2097460 NA NA NA 9378 1824 6826 NA NA NA 10342 2447 16312 NA NA NA
1542405600.0 11642.0 228 NA NA NA NA NA 2097260 NA NA NA NA NA 1859 NA NA NA NA NA 2225 NA NA NA NA NA
1542405600.0 117.0 243 243 281 NA NA NA 2097300 2097280 2097420 NA NA NA 5706 1126 4953 NA NA NA 5959 1329 12405 NA NA NA
1542405600.0 118.0 243 247 288 NA NA NA 2097300 2097270 2097430 NA NA NA 5548 1140 5120 NA NA NA 5828 1385 12858 NA NA NA
1542405600.0 119.0 241 243 529 NA NA NA 2097300 2097280 2097420 NA NA NA 3335 1045 3350 NA NA NA 3837 1372 5717 NA NA NA
1542405600.0 12.0 NA 289 602 0 NA NA NA 2097300 2097450 0 NA NA NA 5535 9412 1449 NA NA NA 5997 12401 2751 NA NA
1542405600.0 120.0 231 242 NA NA NA NA 2097280 2097270 NA NA NA NA 1112 976 NA NA NA NA 2032 1296 NA NA NA NA
1542405600.0 12024.0 232 NA NA NA NA NA 2097260 NA NA NA NA NA 6501 NA NA NA NA NA 7926 NA NA NA NA NA
1542405600.0 121.0 243 254 504 NA NA NA 2097300 2097280 2097430 NA NA NA 5667 1091 4341 NA NA NA 5951 1285 6848 NA NA NA
1542405600.0 122.0 235 241 NA NA NA NA 2097300 2097280 NA NA NA NA 1069 647 NA NA NA NA 1382 830 NA NA NA NA
1542405600.0 123.1 150 NA NA NA NA NA 2097390 NA NA NA NA NA 4234 NA NA NA NA NA 23319 NA NA NA NA NA
