Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1543356000.0 1000.0 NA 265 163 0 55 NA NA NA NA NA 502 361 0 164 NA NA NA NA NA 2377 1057 655 299 NA NA NA NA NA 2539 1298 719 430 NA NA NA NA
1543356000.0 1001.0 NA 230 123 0 0 0 0 0 0 NA 454 242 0 0 0 0 0 0 NA 2117 542 95 70 118 247 109 282 NA 2800 652 137 107 163 280 151 463
1543356000.0 1002.0 NA 260 71 NA NA NA NA NA NA NA 522 179 NA NA NA NA NA NA NA 2442 323 NA NA NA NA NA NA NA 2635 373 NA NA NA NA NA NA
1543356000.0 10024.5 NA 127 147 0 NA NA NA NA NA NA 276 316 0 NA NA NA NA NA NA 497 555 121 NA NA NA NA NA NA 617 895 191 NA NA NA NA NA
1543356000.0 1003.0 NA 220 0 NA NA NA NA NA NA NA 449 0 NA NA NA NA NA NA NA 2483 527 NA NA NA NA NA NA NA 2748 578 NA NA NA NA NA NA
1543356000.0 1004.0 NA 193 99 0 0 0 0 NA NA NA 402 216 0 0 0 0 NA NA NA 803 260 70 108 255 238 NA NA NA 1315 399 127 174 291 325 NA NA
1543356000.0 1010.0 NA 33 45 0 NA NA NA NA NA NA 148 162 0 NA NA NA NA NA NA 84 113 105 NA NA NA NA NA NA 217 205 157 NA NA NA NA NA
1543356000.0 102.0 98 NA NA NA NA NA NA NA NA 254 NA NA NA NA NA NA NA NA 897 NA NA NA NA NA NA NA NA 1027 NA NA NA NA NA NA NA NA
1543356000.0 1020.0 NA 71 26 0 67 NA NA NA NA NA 200 131 0 199 NA NA NA NA NA 232 86 63 214 NA NA NA NA NA 425 145 113 318 NA NA NA NA
1543356000.0 103.0 47 0 0 NA NA NA NA NA NA 171 0 0 NA NA NA NA NA NA 521 177 1362 NA NA NA NA NA NA 637 239 1620 NA NA NA NA NA NA
1543356000.0 1030.0 NA 142 52 0 0 NA NA NA NA NA 350 158 0 0 NA NA NA NA NA 6720 222 60 55 NA NA NA NA NA 7143 291 254 123 NA NA NA NA
1543356000.0 1040.0 NA 256 32 0 NA NA NA NA NA NA 494 135 0 NA NA NA NA NA NA 9823 116 99 NA NA NA NA NA NA 10019 214 129 NA NA NA NA NA
1543356000.0 1040.1 NA 67 30 0 NA NA NA NA NA NA 205 135 0 NA NA NA NA NA NA 329 106 115 NA NA NA NA NA NA 457 177 168 NA NA NA NA NA
1543356000.0 105.0 65 76 41 NA NA NA NA NA NA 196 293 139 NA NA NA NA NA NA 1317 455 126 NA NA NA NA NA NA 1452 587 218 NA NA NA NA NA NA
1543356000.0 106.0 48 0 0 NA NA NA NA NA NA 171 0 0 NA NA NA NA NA NA 519 201 1517 NA NA NA NA NA NA 659 270 1799 NA NA NA NA NA NA
1543356000.0 10804.0 NA 211 330 0 84 117 NA NA NA NA 442 653 0 203 249 NA NA NA NA 1401 1621 1674 355 436 NA NA NA NA 1663 2015 1781 509 491 NA NA NA
1543356000.0 10824.5 NA 194 149 0 NA NA NA NA NA NA 442 336 0 NA NA NA NA NA NA 1575 503 118 NA NA NA NA NA NA 1756 696 175 NA NA NA NA NA
1543356000.0 110.0 57 88 250 NA NA NA NA NA NA 185 292 480 NA NA NA NA NA NA 631 377 1591 NA NA NA NA NA NA 750 495 1876 NA NA NA NA NA NA
1543356000.0 1102.0 NA 102 255 130 68 NA NA NA NA NA 307 526 322 202 NA NA NA NA NA 2145 3186 1295 286 NA NA NA NA NA 2573 3509 1428 341 NA NA NA NA
1543356000.0 111.0 63 87 264 NA NA NA NA NA NA 197 247 526 NA NA NA NA NA NA 1406 335 1593 NA NA NA NA NA NA 1672 470 1871 NA NA NA NA NA NA
1543356000.0 120.0 58 79 246 NA NA NA NA NA NA 185 292 481 NA NA NA NA NA NA 527 343 1600 NA NA NA NA NA NA 726 462 1826 NA NA NA NA NA NA
1543356000.0 124.2 199 NA NA NA NA NA NA NA NA 430 NA NA NA NA NA NA NA NA 992 NA NA NA NA NA NA NA NA 1188 NA NA NA NA NA NA NA NA
1543356000.0 126.0 55 78 248 NA NA NA NA NA NA 185 292 480 NA NA NA NA NA NA 918 350 1246 NA NA NA NA NA NA 1430 528 1437 NA NA NA NA NA NA
1543356000.0 130.0 56 79 250 NA NA NA NA NA NA 177 292 480 NA NA NA NA NA NA 514 329 1240 NA NA NA NA NA NA 706 538 1451 NA NA NA NA NA NA
1543356000.0 1301.0 63 89 170 NA NA NA NA NA NA 196 300 396 NA NA NA NA NA NA 884 321 780 NA NA NA NA NA NA 1001 453 929 NA NA NA NA NA NA
1543356000.0 1301.17 58 104 174 NA NA NA NA NA NA 189 257 410 NA NA NA NA NA NA 945 375 868 NA NA NA NA NA NA 1058 501 1108 NA NA NA NA NA NA
1543356000.0 1302.0 75 87 172 NA NA NA NA NA NA 196 255 395 NA NA NA NA NA NA 3339 461 927 NA NA NA NA NA NA 3704 1062 1048 NA NA NA NA NA NA
1543356000.0 1302.17 70 108 191 NA NA NA NA NA NA 189 257 409 NA NA NA NA NA NA 3613 424 929 NA NA NA NA NA NA 3950 564 1053 NA NA NA NA NA NA
1543356000.0 1303.0 67 87 167 NA NA NA NA NA NA 196 300 396 NA NA NA NA NA NA 5328 300 1150 NA NA NA NA NA NA 5679 416 1294 NA NA NA NA NA NA
1543356000.0 1303.17 61 105 192 NA NA NA NA NA NA 189 257 410 NA NA NA NA NA NA 5344 363 1042 NA NA NA NA NA NA 5704 535 1152 NA NA NA NA NA NA
1543356000.0 1306.0 NA 91 281 0 NA NA NA NA NA NA 272 534 0 NA NA NA NA NA NA 342 1256 498 NA NA NA NA NA NA 476 1430 547 NA NA NA NA NA
1543356000.0 1307.0 NA 95 153 43 0 NA NA NA NA NA 313 342 162 0 NA NA NA NA NA 339 569 127 247 NA NA NA NA NA 510 708 193 353 NA NA NA NA
1543356000.0 1308.0 NA 85 161 51 0 NA NA NA NA NA 313 339 162 0 NA NA NA NA NA 374 497 128 295 NA NA NA NA NA 519 598 186 383 NA NA NA NA
1543356000.0 1315.0 NA 98 283 0 NA NA NA NA NA NA 272 534 0 NA NA NA NA NA NA 347 1295 537 NA NA NA NA NA NA 491 1471 606 NA NA NA NA NA
1543356000.0 1316.0 NA 89 280 0 NA NA NA NA NA NA 318 534 0 NA NA NA NA NA NA 385 1355 532 NA NA NA NA NA NA 537 1529 606 NA NA NA NA NA
1543356000.0 1317.0 NA 94 278 0 NA NA NA NA NA NA 318 534 0 NA NA NA NA NA NA 369 1318 575 NA NA NA NA NA NA 503 1492 620 NA NA NA NA NA
1543356000.0 1318.0 NA 90 283 0 NA NA NA NA NA NA 318 534 0 NA NA NA NA NA NA 358 1259 555 NA NA NA NA NA NA 513 1466 623 NA NA NA NA NA
1543356000.0 1319.0 NA 88 282 0 NA NA NA NA NA NA 273 535 0 NA NA NA NA NA NA 401 1284 510 NA NA NA NA NA NA 534 1444 579 NA NA NA NA NA
1543356000.0 1320.0 NA 96 279 0 NA NA NA NA NA NA 273 534 0 NA NA NA NA NA NA 381 1373 545 NA NA NA NA NA NA 518 1609 595 NA NA NA NA NA
1543356000.0 1321.0 NA 88 286 0 NA NA NA NA NA NA 318 534 0 NA NA NA NA NA NA 383 1349 494 NA NA NA NA NA NA 526 1508 566 NA NA NA NA NA
1543356000.0 1322.0 NA 90 285 0 NA NA NA NA NA NA 273 535 0 NA NA NA NA NA NA 395 1392 504 NA NA NA NA NA NA 510 1561 564 NA NA NA NA NA
1543356000.0 1323.0 NA 99 276 0 NA NA NA NA NA NA 318 534 0 NA NA NA NA NA NA 359 1322 515 NA NA NA NA NA NA 477 1576 583 NA NA NA NA NA
1543356000.0 1325.0 NA 103 296 0 74 NA NA NA NA NA 318 535 0 199 NA NA NA NA NA 465 1376 577 210 NA NA NA NA NA 603 1559 637 303 NA NA NA NA
1543356000.0 1325.1 NA 93 162 0 NA NA NA NA NA NA 274 339 0 NA NA NA NA NA NA 455 631 304 NA NA NA NA NA NA 570 757 383 NA NA NA NA NA
1543356000.0 1325.3 NA 99 167 0 NA NA NA NA NA NA 274 370 0 NA NA NA NA NA NA 442 663 295 NA NA NA NA NA NA 580 814 348 NA NA NA NA NA
1543356000.0 1325.5 NA 149 0 NA NA NA NA NA NA NA 352 0 NA NA NA NA NA NA NA 2126 135 NA NA NA NA NA NA NA 2464 215 NA NA NA NA NA NA
1543356000.0 1325.51 NA 150 0 NA NA NA NA NA NA NA 325 0 NA NA NA NA NA NA NA 1207 158 NA NA NA NA NA NA NA 1620 206 NA NA NA NA NA NA
1543356000.0 1325.6 NA 125 NA NA NA NA NA NA NA NA 298 NA NA NA NA NA NA NA NA 1430 NA NA NA NA NA NA NA NA 2517 NA NA NA NA NA NA NA
1543356000.0 1325.7 NA 133 0 NA NA NA NA NA NA NA 298 0 NA NA NA NA NA NA NA 1443 108 NA NA NA NA NA NA NA 3535 171 NA NA NA NA NA NA
1543356000.0 1325.8 NA 127 0 NA NA NA NA NA NA NA 298 0 NA NA NA NA NA NA NA 1460 115 NA NA NA NA NA NA NA 2610 189 NA NA NA NA NA NA
1543356000.0 134.0 NA 263 43 0 NA NA NA NA NA NA 522 152 0 NA NA NA NA NA NA 2704 136 88 NA NA NA NA NA NA 3111 203 127 NA NA NA NA NA
1543356000.0 134.701 NA 41 269 0 NA NA NA NA NA NA 164 517 0 NA NA NA NA NA NA 197 3942 678 NA NA NA NA NA NA 302 4353 829 NA NA NA NA NA
1543356000.0 134.702 NA 40 264 0 NA NA NA NA NA NA 156 517 0 NA NA NA NA NA NA 199 5059 635 NA NA NA NA NA NA 315 5690 717 NA NA NA NA NA
1543356000.0 134.703 NA 38 269 0 NA NA NA NA NA NA 163 517 0 NA NA NA NA NA NA 220 5001 684 NA NA NA NA NA NA 313 5199 760 NA NA NA NA NA
1543356000.0 134.704 NA 36 265 0 NA NA NA NA NA NA 164 517 0 NA NA NA NA NA NA 210 4803 607 NA NA NA NA NA NA 313 5059 663 NA NA NA NA NA
1543356000.0 134.706 NA 43 271 0 NA NA NA NA NA NA 163 517 0 NA NA NA NA NA NA 215 5271 650 NA NA NA NA NA NA 333 5510 699 NA NA NA NA NA
1543356000.0 134.708 NA 34 259 0 NA NA NA NA NA NA 155 517 0 NA NA NA NA NA NA 214 4614 681 NA NA NA NA NA NA 342 4856 757 NA NA NA NA NA
1543356000.0 134.709 NA 48 411 0 NA NA NA NA NA NA 164 710 0 NA NA NA NA NA NA 208 5018 617 NA NA NA NA NA NA 379 5238 690 NA NA NA NA NA
