Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1543442400.0 1.0 68 84 171 NA NA NA NA 196 292 391 NA NA NA NA 1234 362 909 NA NA NA NA 1370 462 1177 NA NA NA NA
1543442400.0 10024.5 NA 119 141 0 NA NA NA NA 320 316 0 NA NA NA NA 662 702 226 NA NA NA NA 855 1005 401 NA NA NA
1543442400.0 1003.0 NA 229 0 NA NA NA NA NA 449 0 NA NA NA NA NA 2723 621 NA NA NA NA NA 3000 727 NA NA NA NA
1543442400.0 1004.0 NA 199 97 0 0 0 0 NA 402 216 0 0 0 0 NA 891 298 80 120 292 296 NA 1093 474 138 162 347 361
1543442400.0 101.0 94 NA NA NA NA NA NA 254 NA NA NA NA NA NA 891 NA NA NA NA NA NA 1015 NA NA NA NA NA NA
1543442400.0 1010.0 NA 33 37 0 NA NA NA NA 148 162 0 NA NA NA NA 110 128 97 NA NA NA NA 213 225 172 NA NA NA
1543442400.0 102.0 94 NA NA NA NA NA NA 255 NA NA NA NA NA NA 832 NA NA NA NA NA NA 949 NA NA NA NA NA NA
1543442400.0 1020.0 NA 71 30 0 68 NA NA NA 200 131 0 200 NA NA NA 236 94 66 222 NA NA NA 317 182 127 325 NA NA
1543442400.0 103.0 48 0 0 NA NA NA NA 171 0 0 NA NA NA NA 533 190 1499 NA NA NA NA 722 267 1906 NA NA NA NA
1543442400.0 1030.0 NA 151 54 0 0 NA NA NA 350 158 0 0 NA NA NA 7235 220 68 76 NA NA NA 7428 288 116 114 NA NA
1543442400.0 1040.1 NA 80 35 0 NA NA NA NA 205 135 0 NA NA NA NA 327 142 119 NA NA NA NA 478 221 165 NA NA NA
1543442400.0 105.0 61 91 35 NA NA NA NA 196 292 139 NA NA NA NA 1564 407 144 NA NA NA NA 1801 547 303 NA NA NA NA
1543442400.0 106.0 48 0 0 NA NA NA NA 171 0 0 NA NA NA NA 554 203 1458 NA NA NA NA 732 289 1758 NA NA NA NA
1543442400.0 107.0 61 81 263 NA NA NA NA 207 293 480 NA NA NA NA 3360 478 1728 NA NA NA NA 3765 683 1963 NA NA NA NA
1543442400.0 109.0 67 84 252 NA NA NA NA 207 247 480 NA NA NA NA 4039 575 1790 NA NA NA NA 4422 787 2042 NA NA NA NA
1543442400.0 110.0 57 77 257 NA NA NA NA 185 292 481 NA NA NA NA 695 473 1655 NA NA NA NA 888 704 1988 NA NA NA NA
1543442400.0 111.0 63 75 257 NA NA NA NA 197 247 526 NA NA NA NA 1407 464 1698 NA NA NA NA 1676 726 1981 NA NA NA NA
1543442400.0 115.0 65 79 254 NA NA NA NA 196 247 526 NA NA NA NA 2827 480 1693 NA NA NA NA 3163 649 1954 NA NA NA NA
1543442400.0 119.0 67 77 261 NA NA NA NA 196 293 480 NA NA NA NA 1977 488 1610 NA NA NA NA 2213 661 1956 NA NA NA NA
1543442400.0 120.0 58 74 252 NA NA NA NA 185 292 481 NA NA NA NA 616 497 1653 NA NA NA NA 811 704 1945 NA NA NA NA
1543442400.0 122.0 62 76 252 NA NA NA NA 197 248 480 NA NA NA NA 614 348 1653 NA NA NA NA 828 526 2013 NA NA NA NA
1543442400.0 123.1 196 NA NA NA NA NA NA 429 NA NA NA NA NA NA 1084 NA NA NA NA NA NA 1348 NA NA NA NA NA NA
1543442400.0 123.3 181 NA NA NA NA NA NA 428 NA NA NA NA NA NA 977 NA NA NA NA NA NA 1217 NA NA NA NA NA NA
1543442400.0 124.1 211 NA NA NA NA NA NA 428 NA NA NA NA NA NA 941 NA NA NA NA NA NA 1277 NA NA NA NA NA NA
1543442400.0 124.2 192 NA NA NA NA NA NA 430 NA NA NA NA NA NA 1036 NA NA NA NA NA NA 1294 NA NA NA NA NA NA
1543442400.0 124.4 191 NA NA NA NA NA NA 428 NA NA NA NA NA NA 943 NA NA NA NA NA NA 1137 NA NA NA NA NA NA
1543442400.0 124.5 198 NA NA NA NA NA NA 428 NA NA NA NA NA NA 954 NA NA NA NA NA NA 1141 NA NA NA NA NA NA
1543442400.0 130.0 58 74 238 NA NA NA NA 177 247 480 NA NA NA NA 901 632 2063 NA NA NA NA 1761 1271 2698 NA NA NA NA
1543442400.0 1325.5 NA 159 0 NA NA NA NA NA 352 0 NA NA NA NA NA 2251 140 NA NA NA NA NA 2459 215 NA NA NA NA
1543442400.0 1325.51 NA 152 0 NA NA NA NA NA 326 0 NA NA NA NA NA 1332 154 NA NA NA NA NA 1537 217 NA NA NA NA
1543442400.0 1325.6 NA 120 NA NA NA NA NA NA 298 NA NA NA NA NA NA 1634 NA NA NA NA NA NA 2745 NA NA NA NA NA
1543442400.0 1325.7 NA 125 0 NA NA NA NA NA 298 0 NA NA NA NA NA 1459 112 NA NA NA NA NA 3461 178 NA NA NA NA
1543442400.0 1325.8 NA 132 0 NA NA NA NA NA 298 0 NA NA NA NA NA 1457 119 NA NA NA NA NA 2545 185 NA NA NA NA
1543442400.0 1325.9 NA 122 0 NA NA NA NA NA 273 0 NA NA NA NA NA 1181 116 NA NA NA NA NA 1301 173 NA NA NA NA
1543442400.0 1329.1 NA 131 0 NA NA NA NA NA 300 0 NA NA NA NA NA 1288 123 NA NA NA NA NA 1473 182 NA NA NA NA
1543442400.0 134.0 NA 263 44 0 NA NA NA NA 522 152 0 NA NA NA NA 4300 214 103 NA NA NA NA 5082 393 177 NA NA NA
1543442400.0 134.701 NA 41 273 0 NA NA NA NA 164 517 0 NA NA NA NA 286 6697 1033 NA NA NA NA 565 8371 1230 NA NA NA
1543442400.0 134.702 NA 38 268 0 NA NA NA NA 156 517 0 NA NA NA NA 293 8396 1059 NA NA NA NA 624 9654 1319 NA NA NA
1543442400.0 134.704 NA 39 269 0 NA NA NA NA 164 517 0 NA NA NA NA 327 7441 1103 NA NA NA NA 493 8130 1421 NA NA NA
1543442400.0 134.709 NA 40 414 0 NA NA NA NA 164 710 0 NA NA NA NA 340 8004 961 NA NA NA NA 555 8815 1160 NA NA NA
1543442400.0 134.804 NA 35 277 0 NA NA NA NA 169 517 0 NA NA NA NA 306 9290 1073 NA NA NA NA 468 9888 1302 NA NA NA
1543442400.0 134.805 NA 44 283 0 NA NA NA NA 169 568 0 NA NA NA NA 287 9797 940 NA NA NA NA 414 10539 1084 NA NA NA
1543442400.0 134.807 NA 98 292 0 NA NA NA NA 263 568 0 NA NA NA NA 1397 9276 1243 NA NA NA NA 1766 9940 1393 NA NA NA
1543442400.0 134.808 NA 135 306 0 NA NA NA NA 263 568 0 NA NA NA NA 1307 9381 1208 NA NA NA NA 1599 10151 1463 NA NA NA
1543442400.0 134.809 NA 39 275 0 NA NA NA NA 161 517 0 NA NA NA NA 302 9089 989 NA NA NA NA 425 9964 1191 NA NA NA
1543442400.0 134.81 NA 42 273 0 NA NA NA NA 161 517 0 NA NA NA NA 317 8607 932 NA NA NA NA 462 9013 1056 NA NA NA
1543442400.0 134.813 NA 164 60 0 NA NA NA NA 382 190 0 NA NA NA NA 1976 295 430 NA NA NA NA 2214 487 617 NA NA NA
1543442400.0 134.906 NA 42 263 0 NA NA NA NA 162 517 0 NA NA NA NA 303 8284 1036 NA NA NA NA 530 9027 1225 NA NA NA
1543442400.0 135.8 88 NA NA NA NA NA NA 234 NA NA NA NA NA NA 528 NA NA NA NA NA NA 929 NA NA NA NA NA NA
1543442400.0 136.733 NA 174 65 0 NA NA NA NA 382 190 0 NA NA NA NA 934 238 254 NA NA NA NA 1074 437 325 NA NA NA
1543442400.0 136.751 NA 79 307 0 NA NA NA NA 213 630 0 NA NA NA NA 493 12580 766 NA NA NA NA 2275 12895 841 NA NA NA
1543442400.0 136.7611 NA 161 0 NA NA NA NA NA 352 0 NA NA NA NA NA 2584 120 NA NA NA NA NA 2768 178 NA NA NA NA
1543442400.0 136.762 NA 79 312 0 NA NA NA NA 213 630 0 NA NA NA NA 509 18579 774 NA NA NA NA 2253 21133 863 NA NA NA
1543442400.0 136.763 NA 78 288 0 NA NA NA NA 200 566 0 NA NA NA NA 536 14627 772 NA NA NA NA 2279 14979 845 NA NA NA
1543442400.0 136.7721 NA 167 0 NA NA NA NA NA 351 0 NA NA NA NA NA 2357 123 NA NA NA NA NA 2564 194 NA NA NA NA
1543442400.0 136.7722 NA 123 0 NA NA NA NA NA 296 0 NA NA NA NA NA 973 121 NA NA NA NA NA 1164 187 NA NA NA NA
1543442400.0 136.7801 NA 114 0 NA NA NA NA NA 259 0 NA NA NA NA NA 392 260 NA NA NA NA NA 504 334 NA NA NA NA
1543442400.0 136.7802 NA 88 0 NA NA NA NA NA 217 0 NA NA NA NA NA 281 148 NA NA NA NA NA 418 229 NA NA NA NA
1543442400.0 136.7803 NA 110 0 NA NA NA NA NA 263 0 NA NA NA NA NA 468 227 NA NA NA NA NA 828 302 NA NA NA NA
1543442400.0 136.788 NA 86 329 0 NA NA NA NA 213 708 0 NA NA NA NA 472 18818 1059 NA NA NA NA 626 19204 1189 NA NA NA
