Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1542405600.0 1.0 75 101 201 NA NA NA NA NA NA 193 585 320 NA NA NA NA NA NA 1098 547 833 NA NA NA NA NA NA 1061 681 1679 NA NA NA NA NA NA
1542405600.0 10.0 NA 129 295 0 NA NA NA NA NA NA 593 461 0 NA NA NA NA NA NA 2162 2813 536 NA NA NA NA NA NA 1099 1815 679 NA NA NA NA NA
1542405600.0 1000.0 NA 316 175 0 53 NA NA NA NA NA 436 276 0 100 NA NA NA NA NA 2629 1162 745 272 NA NA NA NA NA 1517 1177 1065 375 NA NA NA NA
1542405600.0 10001.0 NA 182 357 0 77 NA NA NA NA NA 607 559 0 133 NA NA NA NA NA 668 1673 1010 303 NA NA NA NA NA 424 1849 1137 676 NA NA NA NA
1542405600.0 10002.0 NA 166 372 0 85 NA NA NA NA NA 565 551 0 127 NA NA NA NA NA 764 1717 1041 237 NA NA NA NA NA 732 1810 1152 330 NA NA NA NA
1542405600.0 10003.0 NA 173 358 0 77 NA NA NA NA NA 611 537 0 132 NA NA NA NA NA 803 1726 1015 361 NA NA NA NA NA 571 1758 1116 422 NA NA NA NA
1542405600.0 10004.0 NA 171 365 0 77 NA NA NA NA NA 561 572 0 133 NA NA NA NA NA 635 1656 984 316 NA NA NA NA NA 621 1765 1095 679 NA NA NA NA
1542405600.0 10005.0 NA 173 356 0 77 NA NA NA NA NA 608 526 0 132 NA NA NA NA NA 682 1672 984 316 NA NA NA NA NA 509 1809 1124 673 NA NA NA NA
1542405600.0 10006.0 NA 181 359 0 85 NA NA NA NA NA 608 552 0 130 NA NA NA NA NA 642 1558 1114 286 NA NA NA NA NA 446 1708 1254 506 NA NA NA NA
1542405600.0 10007.0 NA 182 364 0 75 NA NA NA NA NA 608 558 0 134 NA NA NA NA NA 627 1682 1030 318 NA NA NA NA NA 448 1784 1197 706 NA NA NA NA
1542405600.0 10008.0 NA 179 353 0 76 NA NA NA NA NA 609 573 0 133 NA NA NA NA NA 602 1697 985 346 NA NA NA NA NA 408 1779 1095 789 NA NA NA NA
1542405600.0 10009.0 NA 180 366 0 82 NA NA NA NA NA 609 570 0 122 NA NA NA NA NA 751 1726 1018 303 NA NA NA NA NA 483 1750 1121 428 NA NA NA NA
1542405600.0 1001.0 NA 268 128 0 0 0 0 0 0 NA 389 185 0 0 0 0 0 0 NA 2298 640 95 66 103 269 158 253 NA 1668 647 169 101 144 313 491 298
1542405600.0 1001.2 NA 400 148 0 NA NA NA NA NA NA 597 195 0 NA NA NA NA NA NA 13097 1766 102 NA NA NA NA NA NA 4242 984 133 NA NA NA NA NA
1542405600.0 1002.0 NA 307 91 NA NA NA NA NA NA NA 450 147 NA NA NA NA NA NA NA 2686 356 NA NA NA NA NA NA NA 2041 278 NA NA NA NA NA NA
1542405600.0 10023.0 NA 174 368 0 74 NA NA NA NA NA 611 560 0 131 NA NA NA NA NA 786 1621 1067 396 NA NA NA NA NA 487 1809 1199 713 NA NA NA NA
1542405600.0 10024.0 NA 182 378 0 78 NA NA NA NA NA 607 559 0 127 NA NA NA NA NA 870 1964 1056 502 NA NA NA NA NA 592 1841 1193 779 NA NA NA NA
1542405600.0 10024.1 NA 183 202 0 NA NA NA NA NA NA 559 354 0 NA NA NA NA NA NA 834 829 333 NA NA NA NA NA NA 566 893 463 NA NA NA NA NA
1542405600.0 10024.2 NA 193 378 0 NA NA NA NA NA NA 608 539 0 NA NA NA NA NA NA 767 1906 1055 NA NA NA NA NA NA 470 1903 1192 NA NA NA NA NA
1542405600.0 10024.3 NA 185 181 0 NA NA NA NA NA NA 610 332 0 NA NA NA NA NA NA 883 809 287 NA NA NA NA NA NA 586 902 341 NA NA NA NA NA
