Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543269600.0 10002.0 NA 166 363 0 87 NA 564 549 0 135 NA 850 1937 1110 250 NA 1090 2673 1562 493
1543269600.0 101.0 92 NA NA NA NA 161 NA NA NA NA 1124 NA NA NA NA 1825 NA NA NA NA
1543269600.0 102.0 96 NA NA NA NA 161 NA NA NA NA 1068 NA NA NA NA 1655 NA NA NA NA
1543269600.0 120.0 69 98 279 NA NA 145 583 434 NA NA 785 776 2051 NA NA 1844 807 3340 NA NA
1543269600.0 122.0 50 0 0 NA NA 108 0 0 NA NA 1340 249 1658 NA NA 2403 284 3023 NA NA
1543269600.0 13.0 NA 109 291 0 NA NA 591 435 0 NA NA 738 2734 813 NA NA 1951 3593 1395 NA
1543269600.0 1325.7 NA 175 0 NA NA NA 274 0 NA NA NA 2837 123 NA NA NA 5161 352 NA NA
1543269600.0 135.8 179 NA NA NA NA 253 NA NA NA NA 551 NA NA NA NA 1237 NA NA NA NA
1543269600.0 136.7611 NA 183 0 NA NA NA 299 0 NA NA NA 4772 134 NA NA NA 6098 215 NA NA
1543269600.0 136.764 NA 100 371 0 NA NA 153 543 0 NA NA 506 14646 778 NA NA 746 7151 1193 NA
1543269600.0 136.7721 NA 175 0 NA NA NA 294 0 NA NA NA 4555 153 NA NA NA 5141 400 NA NA
1543269600.0 136.832 NA 121 456 0 NA NA 186 820 0 NA NA 669 22441 1075 NA NA 1212 8480 1876 NA
1543269600.0 2017.8 226 NA NA NA NA 299 NA NA NA NA 494 NA NA NA NA 791 NA NA NA NA
1543269600.0 250407.0 295 0 140 NA NA 743 0 219 NA NA 1257 231 584 NA NA 1934 649 1356 NA NA
1543269600.0 4.22 NA 169 73 73 0 NA 275 126 144 0 NA 953 321 384 267 NA 1629 586 385 639
1543269600.0 507.0 42 0 NA NA NA 86 0 NA NA NA 441 198 NA NA NA 873 445 NA NA NA
1543269600.0 513.0 21 44 0 NA NA 62 94 0 NA NA 821 346 255 NA NA 3428 826 600 NA NA
1543269600.0 516.0 19 40 0 NA NA 63 93 0 NA NA 787 355 202 NA NA 2801 1083 462 NA NA
1543269600.0 519.0 20 38 0 NA NA 62 94 0 NA NA 796 374 243 NA NA 4134 980 650 NA NA
1543269600.0 520.0 21 38 0 NA NA 63 93 0 NA NA 1393 319 229 NA NA 2824 742 575 NA NA
1543269600.0 541.0 54 0 NA NA NA 97 0 NA NA NA 210 158 NA NA NA 1772 286 NA NA NA
