Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1543442400.0 10.0 NA 141 317 0 NA NA NA NA 594 445 0 NA NA NA NA 2171 2845 515 NA NA NA NA 933 2296 740 NA NA NA
1543442400.0 1004.0 NA 230 102 0 0 0 0 NA 345 157 0 0 0 0 NA 951 323 68 130 296 324 NA 7129 811 115 189 1075 1197
1543442400.0 101.0 99 NA NA NA NA NA NA 161 NA NA NA NA NA NA 809 NA NA NA NA NA NA 1091 NA NA NA NA NA NA
1543442400.0 1010.0 NA 31 50 0 NA NA NA NA 88 100 0 NA NA NA NA 128 180 173 NA NA NA NA 1879 356 240 NA NA NA
1543442400.0 102.0 100 NA NA NA NA NA NA 161 NA NA NA NA NA NA 703 NA NA NA NA NA NA 1671 NA NA NA NA NA NA
1543442400.0 1020.0 NA 77 31 0 79 NA NA NA 138 70 0 142 NA NA NA 262 95 64 236 NA NA NA 1870 180 140 321 NA NA
1543442400.0 103.0 87 106 298 NA NA NA NA 170 585 438 NA NA NA NA 1215 421 1193 NA NA NA NA 1329 583 2251 NA NA NA NA
1543442400.0 1040.1 NA 82 35 0 NA NA NA NA 131 74 0 NA NA NA NA 428 136 127 NA NA NA NA 1603 1346 292 NA NA NA
1543442400.0 106.0 48 0 0 NA NA NA NA 104 0 0 NA NA NA NA 735 179 953 NA NA NA NA 2260 294 1522 NA NA NA NA
1543442400.0 111.0 93 110 295 NA NA NA NA 184 582 445 NA NA NA NA 1076 324 1241 NA NA NA NA 929 513 1951 NA NA NA NA
1543442400.0 120.0 71 106 275 NA NA NA NA 147 584 404 NA NA NA NA 525 462 1188 NA NA NA NA 792 1018 2184 NA NA NA NA
1543442400.0 122.0 56 0 0 NA NA NA NA 108 0 0 NA NA NA NA 771 210 1015 NA NA NA NA 968 354 4319 NA NA NA NA
1543442400.0 124.4 315 NA NA NA NA NA NA 686 NA NA NA NA NA NA 823 NA NA NA NA NA NA 2500 NA NA NA NA NA NA
1543442400.0 13.0 NA 125 268 0 NA NA NA NA 592 435 0 NA NA NA NA 389 1772 473 NA NA NA NA 718 5950 682 NA NA NA
1543442400.0 1325.5 NA 171 0 NA NA NA NA NA 290 0 NA NA NA NA NA 4675 146 NA NA NA NA NA 10757 248 NA NA NA NA
1543442400.0 1325.51 NA 167 0 NA NA NA NA NA 262 0 NA NA NA NA NA 1536 176 NA NA NA NA NA 1693 314 NA NA NA NA
1543442400.0 1325.7 NA 152 0 NA NA NA NA NA 268 0 NA NA NA NA NA 2467 138 NA NA NA NA NA 5247 538 NA NA NA NA
