Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1542319200.0 1.0 71 84 165 NA NA NA NA NA NA 132 202 272 NA NA NA NA NA NA 1131 338 798 NA NA NA NA NA NA 1198 416 919 NA NA NA NA NA NA
1542319200.0 10.0 NA 106 259 0 NA NA NA NA NA NA 217 380 0 NA NA NA NA NA NA 1952 2761 551 NA NA NA NA NA NA 2105 2993 667 NA NA NA NA NA
1542319200.0 1000.0 NA 298 169 0 53 NA NA NA NA NA 361 268 0 100 NA NA NA NA NA 2445 1149 691 251 NA NA NA NA NA 2655 1368 744 325 NA NA NA NA
1542319200.0 10001.0 NA 123 316 0 85 NA NA NA NA NA 228 434 0 127 NA NA NA NA NA 419 1560 983 236 NA NA NA NA NA 525 1721 1056 333 NA NA NA NA
1542319200.0 10002.0 NA 125 321 0 79 NA NA NA NA NA 228 434 0 127 NA NA NA NA NA 407 1541 976 240 NA NA NA NA NA 517 1686 1041 348 NA NA NA NA
1542319200.0 10003.0 NA 117 316 0 74 NA NA NA NA NA 228 434 0 127 NA NA NA NA NA 452 1570 1030 240 NA NA NA NA NA 1087 1788 1113 386 NA NA NA NA
1542319200.0 10004.0 NA 122 314 0 79 NA NA NA NA NA 184 434 0 127 NA NA NA NA NA 425 1523 982 248 NA NA NA NA NA 561 1708 1038 355 NA NA NA NA
1542319200.0 10005.0 NA 125 313 0 80 NA NA NA NA NA 228 434 0 127 NA NA NA NA NA 405 1553 995 235 NA NA NA NA NA 537 1750 1054 357 NA NA NA NA
1542319200.0 10006.0 NA 115 331 0 85 NA NA NA NA NA 228 434 0 127 NA NA NA NA NA 415 1448 973 255 NA NA NA NA NA 550 1605 1063 374 NA NA NA NA
1542319200.0 10007.0 NA 125 315 0 86 NA NA NA NA NA 228 434 0 127 NA NA NA NA NA 426 1563 1014 230 NA NA NA NA NA 604 1782 1082 342 NA NA NA NA
