Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1542751200.0 1.0 61 71 164 NA NA NA NA NA NA 135 210 281 NA NA NA NA NA NA 1144 442 2009 NA NA NA NA NA NA 1274 652 2291 NA NA NA NA NA NA
1542751200.0 10.0 NA 98 250 0 NA NA NA NA NA NA 173 388 0 NA NA NA NA NA NA 3001 4883 1211 NA NA NA NA NA NA 3405 5220 1285 NA NA NA NA NA
1542751200.0 1000.0 NA 264 149 0 48 NA NA NA NA NA 371 277 0 99 NA NA NA NA NA 3944 2538 998 835 NA NA NA NA NA 4163 2847 1180 979 NA NA NA NA
1542751200.0 10001.0 NA 107 267 0 69 NA NA NA NA NA 181 442 0 122 NA NA NA NA NA 519 2777 1291 995 NA NA NA NA NA 645 4515 1377 1147 NA NA NA NA
1542751200.0 10002.0 NA 99 294 0 73 NA NA NA NA NA 226 442 0 122 NA NA NA NA NA 505 2808 1328 1010 NA NA NA NA NA 635 3199 1424 1239 NA NA NA NA
1542751200.0 10003.0 NA 105 299 0 71 NA NA NA NA NA 181 442 0 122 NA NA NA NA NA 530 2834 1312 999 NA NA NA NA NA 674 3186 1397 1121 NA NA NA NA
1542751200.0 10004.0 NA 107 293 0 70 NA NA NA NA NA 226 442 0 122 NA NA NA NA NA 502 2812 1317 991 NA NA NA NA NA 621 3435 1413 1141 NA NA NA NA
1542751200.0 10005.0 NA 102 296 0 67 NA NA NA NA NA 226 442 0 122 NA NA NA NA NA 532 2855 1306 1019 NA NA NA NA NA 698 3363 1457 1210 NA NA NA NA
1542751200.0 10006.0 NA 102 290 0 72 NA NA NA NA NA 226 442 0 122 NA NA NA NA NA 520 2787 1289 1008 NA NA NA NA NA 704 3422 1378 1161 NA NA NA NA
1542751200.0 10007.0 NA 107 297 0 69 NA NA NA NA NA 181 442 0 122 NA NA NA NA NA 521 2830 1318 1005 NA NA NA NA NA 669 3016 1430 1251 NA NA NA NA
1542751200.0 10008.0 NA 101 309 0 70 NA NA NA NA NA 226 442 0 122 NA NA NA NA NA 525 2795 1316 992 NA NA NA NA NA 644 2945 1420 1146 NA NA NA NA
1542751200.0 10009.0 NA 109 293 0 70 NA NA NA NA NA 181 442 0 122 NA NA NA NA NA 564 2835 1311 984 NA NA NA NA NA 928 3009 1790 1146 NA NA NA NA
1542751200.0 1001.0 NA 234 115 0 0 0 0 0 0 NA 325 173 0 0 0 0 0 0 NA 3525 1266 142 123 201 758 473 733 NA 3789 1479 182 150 240 789 525 770
1542751200.0 1001.2 NA 287 131 0 NA NA NA NA NA NA 423 195 0 NA NA NA NA NA NA 14258 2230 161 NA NA NA NA NA NA 14500 2410 233 NA NA NA NA NA
1542751200.0 1002.0 NA 264 76 NA NA NA NA NA NA NA 386 127 NA NA NA NA NA NA NA 4247 1217 NA NA NA NA NA NA NA 4510 1283 NA NA NA NA NA NA
1542751200.0 10023.0 NA 116 265 0 69 NA NA NA NA NA 226 442 0 122 NA NA NA NA NA 483 2752 1328 984 NA NA NA NA NA 666 4627 1429 1161 NA NA NA NA
1542751200.0 10024.0 NA 105 280 0 74 NA NA NA NA NA 182 443 0 122 NA NA NA NA NA 603 3060 1465 1030 NA NA NA NA NA 734 4993 1543 1184 NA NA NA NA
1542751200.0 10024.1 NA 109 172 0 NA NA NA NA NA NA 182 281 0 NA NA NA NA NA NA 624 1364 724 NA NA NA NA NA NA 756 1557 923 NA NA NA NA NA
1542751200.0 10024.2 NA 113 303 0 NA NA NA NA NA NA 227 443 0 NA NA NA NA NA NA 625 3006 1342 NA NA NA NA NA NA 785 3332 1412 NA NA NA NA NA
1542751200.0 10024.3 NA 117 164 0 NA NA NA NA NA NA 182 281 0 NA NA NA NA NA NA 616 1324 648 NA NA NA NA NA NA 730 1519 702 NA NA NA NA NA
1542751200.0 10024.4 NA 114 297 0 NA NA NA NA NA NA 182 443 0 NA NA NA NA NA NA 613 3016 1337 NA NA NA NA NA NA 803 3260 1893 NA NA NA NA NA
1542751200.0 10024.5 NA 114 131 0 NA NA NA NA NA NA 182 216 0 NA NA NA NA NA NA 619 802 192 NA NA NA NA NA NA 730 959 335 NA NA NA NA NA
1542751200.0 10025.0 NA 110 307 0 71 NA NA NA NA NA 181 442 0 122 NA NA NA NA NA 545 2840 1330 1012 NA NA NA NA NA 666 3034 1444 1180 NA NA NA NA
