Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543100400.0 1010.0 NA 29 39 0 NA NA 80 94 0 NA NA 247 305 238 NA NA 657 481 386 NA
1543100400.0 1020.0 NA 59 22 0 63 NA 134 70 0 134 NA 574 240 172 547 NA 779 397 296 742
1543100400.0 1030.0 NA 132 39 0 0 NA 246 92 0 0 NA 13045 842 168 171 NA 14128 1044 252 309
1543100400.0 1040.1 NA 62 29 0 NA NA 131 73 0 NA NA 1575 236 213 NA NA 1931 381 323 NA
1543100400.0 1301.0 58 79 167 NA NA 126 219 282 NA NA 1535 727 3333 NA NA 1943 1003 3866 NA NA
1543100400.0 1301.17 52 104 178 NA NA 119 219 295 NA NA 1593 814 3373 NA NA 2012 1115 3873 NA NA
1543100400.0 1302.17 55 105 183 NA NA 119 219 295 NA NA 6544 857 3218 NA NA 7345 1115 3675 NA NA
1543100400.0 1303.17 55 99 180 NA NA 127 219 295 NA NA 9071 753 3626 NA NA 9788 1005 4113 NA NA
1543100400.0 1307.0 NA 78 142 41 0 NA 179 236 92 0 NA 776 2287 819 625 NA 1054 2870 1014 807
1543100400.0 1308.0 NA 81 147 44 0 NA 224 234 91 0 NA 718 2142 796 613 NA 971 2576 977 787
1543100400.0 1325.6 NA 126 NA NA NA NA 201 NA NA NA NA 6259 NA NA NA NA 6833 NA NA NA
1543100400.0 1325.7 NA 116 0 NA NA NA 201 0 NA NA NA 4377 202 NA NA NA 4590 281 NA NA
1543100400.0 1325.8 NA 122 0 NA NA NA 201 0 NA NA NA 4276 198 NA NA NA 4459 275 NA NA
1543100400.0 136.7801 NA 103 0 NA NA NA 187 0 NA NA NA 2171 467 NA NA NA 2523 639 NA NA
1543100400.0 136.7802 NA 76 0 NA NA NA 137 0 NA NA NA 1625 323 NA NA NA 1887 510 NA NA
1543100400.0 136.7803 NA 109 0 NA NA NA 183 0 NA NA NA 1978 398 NA NA NA 2737 512 NA NA
1543100400.0 136.7952 NA 118 0 NA NA NA 196 0 NA NA NA 3283 272 NA NA NA 3632 546 NA NA
1543100400.0 2017.8 104 NA NA NA NA 181 NA NA NA NA 818 NA NA NA NA 1090 NA NA NA NA
1543100400.0 529.0 14 35 0 NA NA 61 89 0 NA NA 2967 549 247 NA NA 8556 792 382 NA NA
1543100400.0 531.0 63 0 NA NA NA 193 0 NA NA NA 549 251 NA NA NA 751 367 NA NA NA
1543100400.0 534.0 41 0 NA NA NA 102 0 NA NA NA 597 258 NA NA NA 956 411 NA NA NA
1543100400.0 535.0 37 0 NA NA NA 94 0 NA NA NA 1324 205 NA NA NA 1947 296 NA NA NA
1543100400.0 545.0 47 0 NA NA NA 94 0 NA NA NA 635 205 NA NA NA 879 330 NA NA NA
1543100400.0 552.0 14 37 0 NA NA 60 95 0 NA NA 1582 543 257 NA NA 1791 722 374 NA NA
1543100400.0 560.0 37 0 NA NA NA 84 0 NA NA NA 534 248 NA NA NA 704 347 NA NA NA
1543100400.0 561.0 36 0 NA NA NA 84 0 NA NA NA 592 234 NA NA NA 832 339 NA NA NA
