Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1543269600.0 1000.0 NA 285 152 0 53 NA NA NA 436 285 0 108 NA NA NA 4886 3186 1119 1106 NA NA NA 3997 6741 1315 1680 NA NA
1543269600.0 1003.0 NA 250 0 NA NA NA NA NA 403 0 NA NA NA NA NA 4947 801 NA NA NA NA NA 7885 870 NA NA NA NA
1543269600.0 1004.0 NA 226 97 0 0 0 0 NA 366 168 0 0 0 0 NA 2264 886 134 317 1005 923 NA 2479 988 171 377 2133 1069
1543269600.0 101.0 92 NA NA NA NA NA NA 158 NA NA NA NA NA NA 986 NA NA NA NA NA NA 1218 NA NA NA NA NA NA
1543269600.0 1010.0 NA 24 37 0 NA NA NA NA 89 102 0 NA NA NA NA 231 417 286 NA NA NA NA 381 591 419 NA NA NA
1543269600.0 102.0 98 NA NA NA NA NA NA 158 NA NA NA NA NA NA 873 NA NA NA NA NA NA 1115 NA NA NA NA NA NA
1543269600.0 1020.0 NA 72 24 0 74 NA NA NA 143 73 0 147 NA NA NA 402 194 166 455 NA NA NA 495 347 288 688 NA NA
1543269600.0 1040.1 NA 64 30 0 NA NA NA NA 140 75 0 NA NA NA NA 1429 194 192 NA NA NA NA 2321 272 289 NA NA NA
1543269600.0 106.0 49 0 0 NA NA NA NA 107 0 0 NA NA NA NA 904 395 2935 NA NA NA NA 1658 601 5570 NA NA NA NA
1543269600.0 10801.0 NA 258 372 0 76 130 NA NA 651 587 0 146 213 NA NA 2865 3866 2472 1444 3192 NA NA 3621 3917 2895 1556 3964 NA
1543269600.0 10803.0 NA 260 376 0 81 129 NA NA 645 588 0 147 232 NA NA 2949 3867 2399 1503 3185 NA NA 3674 4837 2627 1959 3489 NA
1543269600.0 10804.0 NA 284 379 0 79 138 NA NA 679 614 0 150 228 NA NA 2856 3986 2346 1383 3135 NA NA 3168 4353 2572 1601 3949 NA
1543269600.0 10805.0 NA 266 382 0 81 128 NA NA 683 579 0 147 225 NA NA 2899 3916 2423 1453 3149 NA NA 3216 4583 3056 1622 3381 NA
1543269600.0 10807.0 NA 265 374 0 93 136 NA NA 649 590 0 162 239 NA NA 2905 3874 2417 1395 3181 NA NA 2831 4500 2948 1693 4218 NA
1543269600.0 10808.0 NA 259 374 0 88 141 NA NA 712 574 0 155 231 NA NA 2845 3939 2478 1438 3085 NA NA 3382 3927 3353 1912 3356 NA
1543269600.0 10823.0 NA 259 368 0 79 115 NA NA 677 618 0 148 196 NA NA 2918 3723 2467 1473 3241 NA NA 3568 4814 2887 2035 3986 NA
1543269600.0 10824.0 NA 287 387 0 81 133 NA NA 692 597 0 159 245 NA NA 2941 4172 2581 1420 3199 NA NA 3257 4619 3006 2338 3542 NA
1543269600.0 10824.6 NA 271 388 0 92 131 NA NA 638 605 0 155 245 NA NA 3065 4134 2656 1353 3314 NA NA 2908 4700 3245 1759 3685 NA
1543269600.0 10825.0 NA 264 383 0 76 138 NA NA 642 571 0 141 225 NA NA 2951 4019 2480 1347 3192 NA NA 3558 5814 3053 1716 3747 NA
1543269600.0 10826.0 NA 289 407 0 86 137 NA NA 687 616 0 156 226 NA NA 3200 4267 2746 1415 3343 NA NA 2928 5476 3089 1957 4406 NA
1543269600.0 10859.0 NA 300 412 0 88 136 NA NA 645 600 0 161 232 NA NA 3172 4843 2753 1467 3220 NA NA 3340 6422 2958 1897 3550 NA
1543269600.0 10871.0 NA 281 393 0 94 134 NA NA 651 603 0 158 225 NA NA 3127 4122 2646 1379 3187 NA NA 2881 5149 2999 2221 3755 NA
1543269600.0 12.0 NA 128 284 0 NA NA NA NA 559 449 0 NA NA NA NA 2605 5530 1304 NA NA NA NA 1853 6120 2594 NA NA NA
1543269600.0 122.0 43 0 0 NA NA NA NA 107 0 0 NA NA NA NA 801 436 3046 NA NA NA NA 1037 591 5596 NA NA NA NA
1543269600.0 123.1 226 NA NA NA NA NA NA 702 NA NA NA NA NA NA 2646 NA NA NA NA NA NA 3035 NA NA NA NA NA NA
1543269600.0 123.3 238 NA NA NA NA NA NA 696 NA NA NA NA NA NA 2404 NA NA NA NA NA NA 3031 NA NA NA NA NA NA
1543269600.0 124.6 234 NA NA NA NA NA NA 699 NA NA NA NA NA NA 2303 NA NA NA NA NA NA 2312 NA NA NA NA NA NA
1543269600.0 125.0 103 97 269 NA NA NA NA 214 589 452 NA NA NA NA 2608 713 3035 NA NA NA NA 1610 938 3404 NA NA NA NA
1543269600.0 126.0 66 99 280 NA NA NA NA 153 587 443 NA NA NA NA 1778 596 3086 NA NA NA NA 956 540 3650 NA NA NA NA
1543269600.0 127.0 63 108 275 NA NA NA NA 143 545 417 NA NA NA NA 1455 560 3048 NA NA NA NA 1019 562 4411 NA NA NA NA
1543269600.0 128.0 63 110 258 NA NA NA NA 137 587 413 NA NA NA NA 635 543 2913 NA NA NA NA 1006 514 3426 NA NA NA NA
1543269600.0 129.0 59 100 266 NA NA NA NA 138 588 432 NA NA NA NA 932 634 2953 NA NA NA NA 858 626 3645 NA NA NA NA
1543269600.0 130.0 59 99 269 NA NA NA NA 138 588 443 NA NA NA NA 1113 621 2969 NA NA NA NA 1026 553 3457 NA NA NA NA
1543269600.0 1301.17 69 164 189 NA NA NA NA 145 601 377 NA NA NA NA 1865 887 2734 NA NA NA NA 1075 639 5850 NA NA NA NA
1543269600.0 131.0 65 102 273 NA NA NA NA 139 590 413 NA NA NA NA 1487 683 2960 NA NA NA NA 1701 872 3374 NA NA NA NA
1543269600.0 132.0 102 104 270 NA NA NA NA 217 589 439 NA NA NA NA 2600 753 3154 NA NA NA NA 1407 1391 3829 NA NA NA NA
1543269600.0 1325.5 NA 167 0 NA NA NA NA NA 287 0 NA NA NA NA NA 6842 219 NA NA NA NA NA 9890 310 NA NA NA NA
1543269600.0 1325.6 NA 159 NA NA NA NA NA NA 279 NA NA NA NA NA NA 4875 NA NA NA NA NA NA 4420 NA NA NA NA NA
1543269600.0 133.0 92 109 274 NA NA NA NA 214 543 427 NA NA NA NA 4007 747 3232 NA NA NA NA 2093 1655 3373 NA NA NA NA
1543269600.0 134.0 NA 279 36 0 NA NA NA NA 458 92 0 NA NA NA NA 5159 454 133 NA NA NA NA 4540 533 222 NA NA NA
1543269600.0 134.813 NA 167 62 0 NA NA NA NA 273 126 0 NA NA NA NA 1973 718 456 NA NA NA NA 2247 979 597 NA NA NA
1543269600.0 135.3 267 0 122 NA NA NA NA 698 0 226 NA NA NA NA 2277 473 1878 NA NA NA NA 2481 727 2269 NA NA NA NA
1543269600.0 135.9 304 0 120 NA NA NA NA 699 0 236 NA NA NA NA 2349 470 1949 NA NA NA NA 2176 544 4763 NA NA NA NA
1543269600.0 136.7611 NA 176 0 NA NA NA NA NA 291 0 NA NA NA NA NA 6560 215 NA NA NA NA NA 7510 1295 NA NA NA NA
1543269600.0 136.7721 NA 166 0 NA NA NA NA NA 293 0 NA NA NA NA NA 6231 214 NA NA NA NA NA 7493 367 NA NA NA NA
1543269600.0 136.7801 NA 113 0 NA NA NA NA NA 183 0 NA NA NA NA NA 1697 389 NA NA NA NA NA 1780 486 NA NA NA NA
1543269600.0 136.7802 NA 76 0 NA NA NA NA NA 140 0 NA NA NA NA NA 1438 243 NA NA NA NA NA 3595 430 NA NA NA NA
1543269600.0 136.7803 NA 112 0 NA NA NA NA NA 198 0 NA NA NA NA NA 1813 344 NA NA NA NA NA 1979 467 NA NA NA NA
1543269600.0 136.8521 NA 157 0 NA NA NA NA NA 257 0 NA NA NA NA NA 4436 315 NA NA NA NA NA 5696 618 NA NA NA NA
1543269600.0 140.56 NA 583 0 NA NA NA NA NA 1318 0 NA NA NA NA NA 30785 1913 NA NA NA NA NA 16880 2753 NA NA NA NA
1543269600.0 2017.11 371 0 122 NA NA NA NA 690 0 239 NA NA NA NA 2846 588 2038 NA NA NA NA 2363 658 3627 NA NA NA NA
1543269600.0 2017.12 354 0 124 NA NA NA NA 738 0 227 NA NA NA NA 2493 553 1989 NA NA NA NA 2632 637 3290 NA NA NA NA
1543269600.0 2017.2 312 0 130 NA NA NA NA 735 0 222 NA NA NA NA 2332 509 1899 NA NA NA NA 2407 577 2043 NA NA NA NA
1543269600.0 2017.3 306 0 127 NA NA NA NA 734 0 228 NA NA NA NA 2345 498 1883 NA NA NA NA 2279 573 2025 NA NA NA NA
1543269600.0 2017.6 358 0 132 NA NA NA NA 730 0 231 NA NA NA NA 2608 590 1955 NA NA NA NA 2305 1985 3587 NA NA NA NA
1543269600.0 2017.7 349 0 132 NA NA NA NA 736 0 225 NA NA NA NA 2497 593 1911 NA NA NA NA 5583 779 2741 NA NA NA NA
1543269600.0 2017.8 215 NA NA NA NA NA NA 312 NA NA NA NA NA NA 973 NA NA NA NA NA NA 1023 NA NA NA NA NA NA
1543269600.0 2017.9 382 0 134 NA NA NA NA 735 0 234 NA NA NA NA 2322 508 1848 NA NA NA NA 2771 588 2054 NA NA NA NA
1543269600.0 25.0 NA 126 310 0 82 NA NA NA 595 492 0 136 NA NA NA 3245 6697 1272 1312 NA NA NA 2900 6454 1450 2287 NA NA
1543269600.0 250204.17 NA 367 NA NA NA NA NA NA 774 NA NA NA NA NA NA 14448 NA NA NA NA NA NA 6622 NA NA NA NA NA
1543269600.0 250206.118 75 478 289 135 NA NA NA 144 738 506 244 NA NA NA 1411 3820 3053 2925 NA NA NA 1057 3001 3590 3671 NA NA NA
1543269600.0 250402.0 352 0 135 NA NA NA NA 708 0 237 NA NA NA NA 2362 473 1830 NA NA NA NA 2922 662 2646 NA NA NA NA
1543269600.0 250402.1 239 320 0 NA NA NA NA 542 728 0 NA NA NA NA 1665 2476 485 NA NA NA NA 1259 2632 633 NA NA NA NA
1543269600.0 250407.0 283 0 134 NA NA NA NA 617 0 238 NA NA NA NA 2254 372 1757 NA NA NA NA 2666 703 2274 NA NA NA NA
1543269600.0 25406.0 447 0 125 NA NA NA NA 712 0 230 NA NA NA NA 4016 569 2075 NA NA NA NA 4327 1008 3835 NA NA NA NA
1543269600.0 25407.0 394 0 135 NA NA NA NA 752 0 239 NA NA NA NA 5218 585 2141 NA NA NA NA 4805 1634 3726 NA NA NA NA
1543269600.0 4.22 NA 173 70 65 0 NA NA NA 278 129 140 0 NA NA NA 2108 760 1244 348 NA NA NA 2178 949 1890 494 NA NA
1543269600.0 4.27 NA 66 307 0 NA NA NA NA 134 454 0 NA NA NA NA 1387 4951 1151 NA NA NA NA 1799 4268 1582 NA NA NA
1543269600.0 4.28 NA 76 308 0 NA NA NA NA 140 450 0 NA NA NA NA 1232 3950 3954 NA NA NA NA 1961 4120 4851 NA NA NA
1543269600.0 4.58 NA 53 315 0 NA NA NA NA 113 471 0 NA NA NA NA 768 5919 868 NA NA NA NA 958 4343 1339 NA NA NA
1543269600.0 4007.0 67 109 292 NA NA NA NA 140 560 461 NA NA NA NA 1346 662 3073 NA NA NA NA 895 805 3993 NA NA NA NA
1543269600.0 4008.0 42 0 0 NA NA NA NA 107 0 0 NA NA NA NA 917 415 2671 NA NA NA NA 808 513 3321 NA NA NA NA
1543269600.0 44.0 NA 125 284 0 NA NA NA NA 597 438 0 NA NA NA NA 2742 5145 1253 NA NA NA NA 2118 5607 2008 NA NA NA
1543269600.0 5.2 240 0 NA NA NA NA NA 698 0 NA NA NA NA NA 1898 418 NA NA NA NA NA 2655 654 NA NA NA NA NA
1543269600.0 50204.0 NA 200 415 0 NA NA NA NA 618 644 0 NA NA NA NA 2396 5700 1219 NA NA NA NA 3183 7218 1394 NA NA NA
1543269600.0 50206.0 NA 198 390 0 NA NA NA NA 572 578 0 NA NA NA NA 2182 5256 1191 NA NA NA NA 2372 6052 1486 NA NA NA
1543269600.0 503.0 33 0 NA NA NA NA NA 91 0 NA NA NA NA NA 683 302 NA NA NA NA NA 1237 607 NA NA NA NA NA
1543269600.0 504.0 35 0 NA NA NA NA NA 88 0 NA NA NA NA NA 618 322 NA NA NA NA NA 1671 788 NA NA NA NA NA
1543269600.0 505.0 36 0 NA NA NA NA NA 90 0 NA NA NA NA NA 601 344 NA NA NA NA NA 874 1158 NA NA NA NA NA
1543269600.0 506.0 37 0 NA NA NA NA NA 89 0 NA NA NA NA NA 609 335 NA NA NA NA NA 991 809 NA NA NA NA NA
1543269600.0 507.0 30 0 NA NA NA NA NA 91 0 NA NA NA NA NA 647 311 NA NA NA NA NA 854 633 NA NA NA NA NA
1543269600.0 508.0 36 0 NA NA NA NA NA 91 0 NA NA NA NA NA 572 345 NA NA NA NA NA 1072 1278 NA NA NA NA NA
1543269600.0 509.0 33 0 NA NA NA NA NA 88 0 NA NA NA NA NA 578 349 NA NA NA NA NA 868 1286 NA NA NA NA NA
1543269600.0 510.0 33 0 NA NA NA NA NA 90 0 NA NA NA NA NA 962 322 NA NA NA NA NA 1974 1062 NA NA NA NA NA
1543269600.0 511.0 40 0 NA NA NA NA NA 96 0 NA NA NA NA NA 21642 313 NA NA NA NA NA 29560 1705 NA NA NA NA NA
1543269600.0 512.0 14 40 0 NA NA NA NA 65 97 0 NA NA NA NA 3427 679 287 NA NA NA NA 12998 1867 475 NA NA NA NA
