Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543442400.0 1000.0 NA 280 154 0 51 NA NA 447 295 0 108 NA NA 5340 3570 1591 1128 NA NA 4889 6278 2382 1624 NA
1543442400.0 101.0 93 NA NA NA NA NA 171 NA NA NA NA NA 895 NA NA NA NA NA 1042 NA NA NA NA NA
1543442400.0 1010.0 NA 27 36 0 NA NA NA 87 104 0 NA NA NA 271 393 296 NA NA NA 2030 860 485 NA NA
1543442400.0 102.0 86 NA NA NA NA NA 171 NA NA NA NA NA 869 NA NA NA NA NA 1710 NA NA NA NA NA
1543442400.0 1020.0 NA 65 23 0 73 NA NA 141 73 0 151 NA NA 538 181 166 568 NA NA 1759 288 357 1221 NA
1543442400.0 1040.1 NA 69 31 0 NA NA NA 139 76 0 NA NA NA 1346 275 252 NA NA NA 1703 1325 766 NA NA
1543442400.0 106.0 43 0 0 NA NA NA 109 0 0 NA NA NA 909 332 2641 NA NA NA 1588 463 4341 NA NA NA
1543442400.0 107.0 87 103 265 NA NA NA 220 589 424 NA NA NA 2392 687 3153 NA NA NA 1781 594 4033 NA NA NA
1543442400.0 108.0 84 104 264 NA NA NA 221 588 443 NA NA NA 3607 734 3200 NA NA NA 2363 928 3865 NA NA NA
1543442400.0 10801.0 NA 258 398 0 78 139 NA 629 604 0 145 225 NA 2739 3816 2385 1331 3111 NA 3599 4178 2563 1562 3640
1543442400.0 10803.0 NA 273 396 0 82 136 NA 689 616 0 147 224 NA 2744 4062 2343 1337 3137 NA 3973 5254 2486 1488 3559
1543442400.0 10804.0 NA 274 381 0 79 140 NA 688 614 0 147 234 NA 2661 3870 2283 1575 3098 NA 3254 4043 2427 2449 3509
1543442400.0 10807.0 NA 261 387 0 90 130 NA 716 573 0 163 221 NA 2807 3924 2311 1396 3113 NA 3105 5445 2508 1824 3384
1543442400.0 10809.0 NA 265 383 0 89 124 NA 679 590 0 151 244 NA 2926 3954 2345 1344 3161 NA 3758 3970 2539 1621 4090
1543442400.0 10823.0 NA 261 374 0 78 116 NA 680 574 0 148 191 NA 2839 3864 2437 1525 2997 NA 3376 4314 2570 1844 3372
1543442400.0 10824.0 NA 275 393 0 90 130 NA 684 610 0 163 233 NA 2952 4170 2543 1359 3204 NA 3089 4422 2846 1655 3678
