Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1543356000.0 135.8 180 NA NA 277 NA NA 422 NA NA 711 NA NA
1543356000.0 136.7611 NA 187 0 NA 298 0 NA 5421 154 NA 5978 651
1543356000.0 136.7721 NA 174 0 NA 290 0 NA 4981 166 NA 5461 1066
1543356000.0 136.7802 NA 84 0 NA 147 0 NA 390 227 NA 856 460
1543356000.0 503.0 38 0 NA 87 0 NA 376 253 NA 924 783 NA
1543356000.0 504.0 37 0 NA 88 0 NA 417 246 NA 928 982 NA
1543356000.0 505.0 39 0 NA 88 0 NA 354 254 NA 841 782 NA
1543356000.0 506.0 39 0 NA 88 0 NA 314 241 NA 1149 710 NA
1543356000.0 507.0 37 0 NA 87 0 NA 483 223 NA 1365 685 NA
1543356000.0 508.0 38 0 NA 87 0 NA 393 256 NA 965 983 NA
1543356000.0 509.0 42 0 NA 85 0 NA 354 267 NA 898 1037 NA
1543356000.0 510.0 37 0 NA 87 0 NA 456 246 NA 1360 801 NA
1543356000.0 513.0 21 42 0 63 94 0 739 373 238 2346 1042 1001
1543356000.0 514.0 19 46 0 63 94 0 562 382 242 1728 843 783
1543356000.0 515.0 21 36 0 62 93 0 2377 353 240 13433 1011 572
1543356000.0 516.0 21 37 0 62 92 0 710 327 232 2075 1003 572
1543356000.0 517.0 19 39 0 62 94 0 1435 428 259 3081 936 783
1543356000.0 519.0 21 39 0 63 94 0 702 367 242 2264 1153 714
1543356000.0 520.0 21 39 0 62 93 0 1381 433 257 2355 1389 823
1543356000.0 521.0 21 38 0 62 94 0 725 362 264 2098 988 726
1543356000.0 522.0 21 38 0 62 92 0 2372 331 238 14437 970 711
1543356000.0 524.0 19 41 0 62 94 0 1443 372 249 3186 789 782
1543356000.0 525.0 19 37 0 63 93 0 772 344 229 3136 959 954
1543356000.0 527.0 21 39 0 62 95 0 1348 421 249 2297 953 938
1543356000.0 528.0 22 38 0 63 94 0 775 346 251 3357 831 766
1543356000.0 531.0 49 0 NA 196 0 NA 246 195 NA 415 1221 NA
1543356000.0 554.0 20 46 0 63 94 0 2230 251 175 3278 490 1078
1543356000.0 560.0 43 0 NA 86 0 NA 202 196 NA 310 514 NA
1543356000.0 561.0 44 0 NA 88 0 NA 206 226 NA 309 1784 NA
